No.,Equipment Name,Serial No,SITE,Rated Power (MVA),HV Rate (kV),LV Rate (kV),Rated Voltage (kV),Service Type,Service Age (Year),Condition Health Index,Health Index Status,Estimated DP (From Furan),Estimated Remaining Life time (Year),Visual Inspection,Active Part,Insulation Resistance & PI,Insulation Power Factor,Exciting Current,Ratio&Polarity,Winding Resistance,1∅ Short Circuit Impedance,3∅ Short Circuit Impedance,Core to Ground,Bushing,Surge Arrester,Dynamic Resistance Measurement (OLTC),Frequency Response Analysis (FRA),%Moisture in paper (FDS),Main Tank Oil,DGA,Water Content,Dielectric Breakdown,PF at 25 °C,PF at 100 °C,Conductivity,Interfratial Tension (IFT),Acidity,Color,Inhibitor,Corrosive Sulfur,Passivator,Furan,Sludge,OLTC Oil,DGA (OLTC),Dielectric Breakdown (OLTC),Water Content (OLTC),Date To Assess,FAT,2011,2012,2013,Last PM,Next PM,Recommendation
0,16120-TR-001,4803321,CUP-1,6,11,6.9,11/6.9,UAT,21,92,Monitor,937,,Q,A,A,A,A,A,A,A,A,N/A,N/A,N/A,N/A,A,A,Q,A,A,A,A,Q,U,A,A,A,A,Q,N/A,A,N/A,N/A,N/A,N/A,N/A,01/19/2026,,,,,2025,2028,"Repair oil leak and hot oil purify, Add passivator. Plan for oil regeneration/Change Oil: Concern oil conductivity is unacceptable limit, Suspect corrosive (3b),"
0,16120-TR-003,4902687,CUP-1,6,11,6.9,11/6.9,UAT,20,92,Monitor,1003,,A,A,A,A,A,A,A,A,A,N/A,N/A,N/A,N/A,N/A,N/A,Q,A,A,A,A,A,U,A,A,A,A,Q,N/A,A,N/A,N/A,N/A,N/A,N/A,01/19/2026,,,,,2023,2026,"Add passivator, Plan for oil regeneration/Change Oil: Concern oil conductivity is unacceptable limit, Suspect corrosive (3b)."
0,16120-TR-004,5001769,CUP-1,6,11,6.9,11/6.9,UAT,19,92,Monitor,1003,,A,A,A,A,A,A,A,A,A,N/A,N/A,N/A,N/A,A,Q,Q,A,A,A,A,A,Q,U,A,A,A,Q,N/A,A,N/A,N/A,N/A,N/A,N/A,01/19/2026,,,,,2021,2024,"Plan for oil regeneration/Change Oil: Concern IFT is unacceptable limit and conductivity is questionable limit, Suspect corrosive (3b), Add passivator. Plan for drying transformer (insulation paper degradation)."
0,16120-TR-006,5101711,CUP-1,6,11,6.9,11/6.9,UAT,21,72,Monitor,1003,,A,A,A,A,A,A,Q,A,A,N/A,N/A,N/A,N/A,A,Q,Q,A,A,A,A,A,U,Q,A,A,A,A,N/A,A,N/A,N/A,N/A,N/A,N/A,01/19/2026,,,,,2025,2028,Plan for oil regeneration/Change Oil: Concern conductivity is unacceptable limit and IFT is questionable limit. Plan for drying transformer (insulation paper degradation).
0,10060-TR-101,5201090,CUP-1,6,11,6.9,11/6.9,UAT,17,80,Monitor,1031,,A,Q,A,U,A,A,A,A,A,N/A,N/A,N/A,N/A,N/A,N/A,A,A,A,A,A,N/A,N/A,N/A,A,A,N/A,A,N/A,A,A,N/A,N/A,N/A,N/A,01/20/2026,,,,,2025,2028,Follow power factor test period shutdown and DFR test.
0,10060-TR-102,5201091,CUP-1,6,11,6.9,11/6.9,UAT,17,100,Healthy,1152,,A,A,A,A,A,A,A,A,A,N/A,N/A,N/A,N/A,N/A,N/A,A,A,A,A,A,N/A,N/A,N/A,A,A,N/A,A,N/A,A,A,N/A,N/A,N/A,N/A,01/20/2026,,,,,2023,2026,
0,14100-TR-001 (GTG11),4810106,CUP-1,55,115,10.5,115/10.5,GSUT,21,96,Healthy,970,,A,A,A,A,A,A,A,A,A,N/A,A,A,N/A,A,A,Q,A,A,A,A,A,Q,Q,A,A,A,A,A,A,N/A,N/A,N/A,N/A,N/A,01/19/2026,,,,,2025,2028,Plan for oil regeneration: Concern oil conductivity and IFT are questionable limit.
0,14100-TR-002 (GTG12),4811735,CUP-1,55,115,10.5,115/10.5,GSUT,20,96,Monitor,859,,Q,A,A,A,A,A,A,A,A,N/A,A,A,N/A,A,A,Q,A,A,A,A,A,A,U,A,A,A,A,Q,A,A,N/A,N/A,N/A,N/A,01/19/2026,,,,,2023,2026,"Repair hot spot: HV cable terminator phase A and B (Max. 52 °C), Plan for oil regeneration: Concern IFT are questionable limit, Add passivator."
0,14100-TR-005 (GTG13),PP0174B01,CUP-1,55,115,10.5,115/10.5,GSUT,18,92,Monitor,862,,A,A,A,A,A,A,A,A,A,N/A,A,A,N/A,A,A,Q,A,A,A,A,A,U,A,A,A,A,A,A,A,A,N/A,N/A,N/A,N/A,01/19/2026,,,,,2024,2027,Plan for oil regeneration: Concern oil conductivity is unacceptable limit.
0,14100-TR-006 (GTG14),PP0225B01,CUP-1,55,115,10.5,115/10.5,GSUT,17,92,Monitor,917,,A,A,A,A,A,A,A,A,A,N/A,A,A,N/A,A,A,Q,A,A,A,A,A,Q,Q,A,A,A,A,A,A,A,N/A,N/A,N/A,N/A,01/19/2026,,,,,2025,2028,Plan for oil regeneration: Concern IFT is unacceptable limit and conductivity is questionable limit.
