SN&Phase,Serial_No,Parent_Serial_No,Status,Phase,Device,Local_Equipment_Code,Manufacturer,Manufacturer_Year,Model,Type,Insulation,kV,mA,Watts,Meas_PF_C1,Corr_Fact,Corr_PF,Capacitance_C1,Meas_PF_C2,Capacitance_C2,File_Upload
20083122TIC003H0,08D5408,20083122TIC003,Energized,H0,-,-,TRENCH,2008,COT 550/2000,OIP,OIP,123,2000,550,0.41,,,205,,,
20083122TIC008H0,08D5407,20083122TIC008,Energized,H0,-,-,TRENCH,2008,COT 550/2000,OIP,OIP,123,2000,550,0.41,,,205,,,
4810106H0,1ZSC304913,4810106,Energized,H0,-,-,ABB,2005,GOB 550 LF123063-K,OIP,,123,800,170,0.42,73,680,175,0.2,375,
4811735H0,1ZSC304916,4811735,Energized,H0,14100-TR-002,-,ABB,2005,GOB550/800 LF123063-K,OIP,Porcelain,123,800,170,0.42,73,680,175,0.2,399,
5110021H0,1ZSC342303,5110021,Energized,H0,-,-,ABB,2008,GOB 550 LF123063-K,OIP,Porcelain,123,800,170,0.45,73,680,176,0.2,382,
5110022H0,1ZSC341827,5110022,Energized,H0,-,-,ABB,2008,GOB550 LF123063-K,OIP,Porcelain,123,800,170,0.44,73,680,175,0.21,383,
5110023H0,1ZSC341901,5110023,Energized,H0,-,-,ABB,2008,GOB 550 LF123063-K,OIP,Porcelain,123,800,170,0.45,73,680,176,0.2,381,
512033H0,1ZSCT25005921/01,512033,Energized,H0,,,ABB,2012,GOB 550 LF123190-K,OIP,Porcelain,123,800,170,0.43,,,175,0.19,351,1565080489-20190305183118.jpg
54001H0,1ZSCT21008705/04,54001,Energized,H0,,,ABB,2019,GSA123-OA/1600/0.3,RIP,,123,1600,170,0.31,50,555,308,0.64,271,1583997591-presentation.jpg
6110201H0,1ZSCT24001657/04,6110201,Energized,H0,-,-,ABB,2018,GOB550/800-0.3 LF123190-K,OIP,Porcelain,123,800,170,0.42,89,680,169,0.2,388,
615007H0,05I6027,615007,Energized,H0,-,-,TRENCH,1997,COT 550-800,OIP,Porcelain,123,800,,0.38,,,251.1,,,
EDP008001H0,240192,EDP008001,Energized,H0,-,-,ABB,1997,GOB 550 LF123189-K,OIP,Porcelain,170,800,550,0.246,86,1965,,,,
TP70279703H0,0916776,TP70279703,Energized,H0,,,TRENCH(UK) LIMITED,2010,20HC494-500,OIP,Porcelain,24,3000,,0.38,,,929,,,
20083122TIC003H1,1ZCD10133536,20083122TIC003,Energized,H1,-,-,ABB,2008,RTKK 170-750/2000,Oil to Oil,RIP,170,2000,750,0.35,,,271.1,,,
20083122TIC008H1,1ZCD10133535,20083122TIC008,Energized,H1,-,-,ABB,2008,RTKK 170-750/2000,Oil to Oil,RIP,170,2000,750,0.37,,,278.53,,,
4710345H1,1ZSC298740,4710345,Energized,H1,,,ABB,,GOB 550 LF123063-K,OIP,Porcelain,123,800,170,0.41,20,0.41,179,0.2,420,
4710346H1,1ZSCT21005216/01,4710346,Energized,H1,,,ABB,2016,GSA123-OA/1600/0.3,LF130123-BB,RIP,115,1600,170,0.35,50,555,308,0.87,242,
4710347H1,1ZSC298737,4710347,Energized,H1,-,-,ABB,,GOB 550 LF123063-K,OIP,Porcelain,123,800,170,0.46,,,177,0.18,398,
4710348H1,1ZSC298748,4710348,Energized,H1,,,ABB,,GOB 550 LF123063-K,OIP,Porcelain,123,800,170,0.41,,,177,0.21,427,
4710349H1,1ZSCT25013846/09,4710349,Energized,H1,-,-,ABB,2021,GOB 550 LF123063-K,OIP,Porcelain,115,800,180,0.49,,,176,0.18,387,
4710350H1,1ZSC300127,4710350,Energized,H1,-,-,ABB,2004,GOB 550 LF123063-K,OIP,Porcelain,123,800,170,0.49,,,178,0.22,409,
4810106H1,1ZSC304914,4810106,Energized,H1,,,ABB,2005,GOB 550 LF123063-K,OIP,,123,800,170,0.42,73,680,175,0.2,380,
4811735H1,1ZSC304917,4811735,Energized,H1,14100-TR-002,-,ABB,2005,GOB550/800 LF123063-K,OIP,Porcelain,123,800,170,0.41,73,680,175,0.2,402,
4912019H1,1ZSC322089,4912019,Energized,H1,-,-,ABB,2006,GOB 550 LF123063-K,OIP,Porcelain,123,800,170,0.43,,880,172,0.21,393,
4912020H1,1ZSC322089,4912020,Energized,H1,23902-TR-012,-,ABB,2006,GOB550/800 LF123063-K,OIP,Porcelain,123,800,170,0.43,73,680,172,0.21,393,
4912021H1,1ZSC322091,4912021,Energized,H1,-,-,ABB,2006,GOB550/800 LF123063-K,OIP,Porcelain,123,800,170,0.44,,,172,0.25,403,
5011857H1,87161,5011857,Energized,H1,-,-,PASSONI VILLA,2008,PCTO 123 550 1250,Oil to Oil,RIP,123,1250,,0.3,48,,298.3,0.18,3677.1,
508038H1,1ZSC345766,508038,Energized,H1,-,-,ABB,2008,GOB550 LF123191-K,OIP,,123,800,170,0.46,70.99,800,207,0.2,673,
510049H1,1ZSCT18000308/03,510049,Energized,H1,-,KT2A,ABB,2011,GSB245/1600/0.3-P,RIP,-,245,1600,245,0.36,310,920,656,0.4,395,1568114121-presentation.jpg
5110021H1,1ZSC342302,5110021,Energized,H1,-,-,ABB,2008,GOB 550 LF123063-K,OIP,Porcelain,123,800,170,0.46,73,680,175,0.2,386,
5110022H1,1ZSC341829,5110022,Energized,H1,-,-,ABB,2008,GOB550 LF123063-K,OIP,Porcelain,123,800,170,0.44,73,680,176,0.23,406,
5110023H1,1ZSC341902,5110023,Energized,H1,-,-,ABB,2008,GOB 550 LF123063-K,OIP,Porcelain,123,800,170,0.45,73,680,176,0.2,399,
512033H1,1ZSCT25005920/03,512033,Energized,H1,,,ABB,2012,GOB 550 LF123190-K,OIP,Porcelain,123,800,170,0.42,,,171,0.19,379,1517384524-KT4A.jpg
54001H1,1ZSCT21008705/01,54001,Energized,H1,,,ABB,2019,GSA123-OA/1600/0.3,RIP,,123,1600,170,0.31,50,555,309,0.61,283,1583995175-presentation.jpg
54002H1,TR1001,54002,Energized,H1,,,ABB,,GOB550 LF123191-K,,,123,0.54,0.022,0.496,20,0.4,175,,,
56016H1,96C6941,56016,Energized,H1,-,-,TRENCH,1996,COT550-800,OIP,Porcelain,115,800,123,0.3665,,,183.5,,,
57005H1,246043,57005,Energized,H1,-,-,ABB,1997,GOBK 550 LF127008-B,Oil to Oil,Porcelain,170,1250,550,0.47,39,1290,162,0.24,335,
57012H1,249028,57012,Energized,H1,-,-,ABB,1997,GOBK 550 LF127008-B,Oil to Oil,RIP,170,1250,550,0.46,39,1290,163,0.3,335,
6012333H1,1ZSCT21006841/01,6012333,Energized,H1,-,KT51A,ABB,2018,GSA123-OA/1600/0.3,RIP,-,170,1600,170,0.33,50,555,307,0.61,246,1568632246-presentation.jpg
6110201H1,1ZSCT24004523/01,6110201,Energized,H1,-,-,ABB,2018,GOB550/800-0.1 LF123189-K,OIP,Porcelain,123,800,170,0.42,86,495,149,0.43,143,
6110202H1,1ZSCT24004523/03,6110202,Energized,H1,-,-,ABB,2018,GOB550/800-0.1,OIP,Porcelain,123,800,170,0.43,86,495,149,0.42,141,
615007H1,15A3050,615007,Energized,H1,-,-,TRENCH,2015,COT 550-800,OIP,Porcelain,123,800,,0.26,,,264,0.21,375,
6310535H1,21B4886,6310535,Energized,H1,,,TRENCH,2021,COTC 550-800 L0,OIP,Silicone composite,,800,123,0.23,50,,167,0.3,114,
6310537H1,21B4889,6310537,Energized,H1,-,-,TRENCH,2021,COTC550-800L0,OIP,Porcelain,115,800,123,0.23,,,166,0.34,117,
6512362H1,22C4157,6512362,Energized,H1,-,-,TRENCH,2022,COTC 550-800 L0,OIP,Silicone composite,115,800,123,0.23,50,,168,0.24,117,
667001H1,HH03038170,667001,Energized,H1,-,-,PASSONI VILLA,2015,,OIP,Porcelain,146,1200,,0.378,,,537.1,,9929,
