serial,date,test_NO,ambient_temp,winding_temp,oil_temp,humidity,bushing_c1kv,bushing_c2kv,bushing_h1_c1,bushing_h1_c1_ma,bushing_h1_watt,bushing_h1_pf_tan,bushing_h1_pf_20c,bushing_h1_c2,bushing_h1_c2_ma,bushing_h1_c2_watt,bushing_h1_c2_pf_tan,bushing_h1_c2_pf_20c,bushing_h2_c1,bushing_h2_c1_ma,bushing_h2_watt,bushing_h2_pf_tan,bushing_h2_pf_20c,bushing_h2_c2,bushing_h2_c2_ma,bushing_h2_c2_watt,bushing_h2_c2_pf_tan,bushing_h2_c2_pf_20c,bushing_h3_c1,bushing_h3_ma,bushing_h3_watt,bushing_h3_pf_tan,bushing_h3_pf_20c,bushing_h3_c2,bushing_h3_c2_ma,bushing_h3_c2_watt,bushing_h3_c2_pf_tan,bushing_h3_c2_pf_20c,bushing_h0_cap,bushing_h0_ma,bushing_h0_watt,bushing_h0_pf_tan,bushing_h0_pf_20c,bushing_l1_cap,bushing_l1_ma,bushing_l1_watt,bushing_l1_pf_tan,bushing_l1_pf_20c,bushing_l2_cap,bushing_l2_ma,bushing_l2_watt,bushing_l2_pf_tan,bushing_l2_pf_20c,bushing_l3_cap,bushing_l3_ma,bushing_l3_watt,bushing_l3_pf_tan,bushing_l3_pf_20c,xbushing_c1kv,xbushing_c2kv,xbushing_h1_c1,xbushing_h1_c1_ma,xbushing_h1_watt,xbushing_h1_pf_tan,xbushing_h1_pf_20c,xbushing_h1_c2,xbushing_h1_c2_ma,xbushing_h1_c2_watt,xbushing_h1_c2_pf_tan,xbushing_h1_c2_pf_20c,xbushing_h2_c1,xbushing_h2_c1_ma,xbushing_h2_watt,xbushing_h2_pf_tan,xbushing_h2_pf_20c,xbushing_h2_c2,xbushing_h2_c2_ma,xbushing_h2_c2_watt,xbushing_h2_c2_pf_tan,xbushing_h2_c2_pf_20c,xbushing_h3_c1,xbushing_h3_ma,xbushing_h3_watt,xbushing_h3_pf_tan,xbushing_h3_pf_20c,xbushing_h3_c2,xbushing_h3_c2_ma,xbushing_h3_c2_watt,xbushing_h3_c2_pf_tan,xbushing_h3_c2_pf_20c,xbushingl1_pf_error,xbushingl1_cap_error,xbushing_h0_watt,xbushing_h0_pf_tan,xbushingl2_pf_error,xbushingl2_cap_error,xbushing_l1_ma,xbushing_l1_watt,xbushingl3_pf_error,xbushingl3_cap_error,xbushing_l2_cap,xbushing_l2_ma,xbushing_l2_watt,xbushing_l2_pf_tan,xbushing_l2_pf_20c,xbushing_l3_cap,xbushing_l3_ma,xbushing_l3_watt,xbushing_l3_pf_tan,xbushing_l3_pf_20c,test_name,witness_name,COMP1,COMP2,test_instrument,serial_instrument,date_calibation,note,maxbh1_tand,maxbch1_change,maxbh2_tand,maxbch2_change,maxbh3_tand,maxbch3_change,maxbh0_tand,maxbch0_change
PP0102B01,2026-07-21 00:00:00,,31,32,32,61,10,0.5,161.9,0.51,19.17,0.377,0.414,-,-,-,-,-,250.3,0.79,22.49,0.286,0.314,-,-,-,-,-,253.4,0.8,18.4,0.231,0.254,-,-,-,-,-,3.50,1.88,-,-,54.68,1.07,-,-,20.95,0.63,-,-,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,Mr.Jirasak S.,Mr.Suchart M.,GPSC,GPSC,TESTRANO 600,DA193X,2025-12-15 00:00:00,,3.5,1.88,54.68,1.07,20.95,0.63,,
PP0084B01,2026-07-16 00:00:00,,31,30,30,71,10,0.5,259.1,0.81,26.16,0.321,0.353,,0.08,0.22,0.579,,252,0.79,23.98,0.302,0.333,,0.09,0.26,0.596,,261.2,0.82,26.09,0.318,0.349,,0.07,0.24,0.648,,30.74,0.73,,,28.08,1.18,,,24.64,0.68,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,Mr.Jirasak S.,Mr.Suchart M.,GPSC,GPSC,TESTRANO 600,DA193X,2025-12-15 00:00:00,,30.74,0.73,28.08,1.18,24.64,0.68,,
TP70279703,2026-01-21 00:00:00,,30,32,32,55,2,-,403.6,0.25,1.95,0.385,0.423,-,-,-,-,-,363.2,0.23,1.23,0.27,0.297,-,-,-,-,-,365.4,0.23,1.26,0.274,0.301,-,-,-,-,-,14.89,0.15,-,-,12.9,0.11,-,-,11.21,0.08,-,-,,,,,,,,,5,-,5077.2,7.97,136.6,0.342,0.376,,,,,,4382.1,6.88,131.71,0.382,0.42,,,,,,4087.9,6.42,102.23,0.318,0.349,,,,,,18.26,0.25,,,5.00,2.03,,,10.51,3.56,,,,,,,,,,,Mr.Polasart,Mr.Jirasak S.,Hitachi Energy,GPSC,TESTRANO 600,FJ571Z,,,18.26,0.25,12.9,2.03,11.21,3.56,,
6310535,2026-01-07 00:00:00,,30,30,30,50,10,0.5,165.6,0.52,11.53,0.221,0.243,-,0.02,0.06,0.552,-,163.5,0.51,11.40,0.222,0.244,-,0.02,0.07,0.593,-,165.9,0.52,11.76,0.225,0.248,,0.02,0.08,0.745,-,5.65,0.84,-,-,6.09,1.51,-,-,3.33,1.25,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mr.Jirasak S.,Mr.Suchat M.,GPSC,GPSC,TESTRANO 600,CE133V,2025-10-02 00:00:00,,5.65,0.84,6.09,1.51,3.33,1.25,,
6310537,2025-11-26 00:00:00,,30,30,30,56,10,,164.3,0.52,11.78,0.2277,0.2505,,,,,,163.5,0.51,11.28,0.2194,0.2194,,,,,,165,0.52,11.42,0.2200,0.242,,,,,,8.91,1.02,,,8.58,1.51,,,5.22,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jirasak S.,,GPSC,,"CPC100, CP TD1",UA353B,,,8.91,1.02,8.58,1.51,5.22,1.2,,
5110021,2025-11-03 00:00:00,,32,32,32,67,10,0.5,173.4,0.55,22.48,0.411,0.452,-,-,-,-,-,174.9,0.55,23.84,0.432,0.476,-,-,-,-,-,172.9,0.54,22.43,0.412,0.453,-,-,-,-,-,1.74,0.91,-,-,5.78,1.19,-,-,5.35,1.2,-,-,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,Mr.Jirasak S.,Mr.Suchat M.,GPSC,GPSC,CPC100+CP SB1,,,,1.74,0.91,5.78,1.19,5.35,1.2,,
56016,2025-07-20 00:00:00,,32,52,52,62,,,183.5,0.58,19.20,0.3332,0.3665,,,,,,189.5,0.60,13.80,0.2317,0.2549,,,,,,184.2,0.58,14.30,0.2471,0.2718,,,,,,0.00,0.00,,,0.35,0,,,0.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pimchart P.,Hitachi Energy,GPSC,,,,,0,0,0.35,0,0.3,0,,
5110023,2025-07-09 00:00:00,,32,32,32,67,10,0.5,174.1,0.55,23.58,0.431,0.491,-,-,-,-,-,174.4,0.55,23.35,0.425,0.484,-,-,-,-,-,174.8,0.55,23.76,0.432,0.493,-,-,-,-,-,9.11,1.08,-,-,7.56,0.91,-,-,9.56,1.24,-,-,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,Mr.Jirasak S.,Mr.Suchat M.,GPSC,GPSC,TESTRANO 600,DA193X,2024-10-09 00:00:00,,9.11,1.08,7.56,0.91,9.56,1.24,,
PTE 1689/04,2025-07-07 00:00:00,,36,35,35,58,10,-,572.6,1.8,42.06,0.233,0.282,-,-,-,-,-,575,1.81,44.41,0.245,0.245,-,-,-,-,-,576.8,1.81,48.22,0.266,0.322,-,-,-,-,-,4.41,2.54,-,-,21.47,2.62,-,-,0.63,2.86,-,-,,,,,,,,,10,-,454.3,1.43,41.49,0.291,0.319,-,-,-,-,-,451.9,1.42,40.8,0.287,0.316,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,32.92,0.37,-,-,37.39,0.46,-,-,-,-,-,-,,,,,,,,,Mr.Jirasak S.,Mr.Suchat M.,GPSC,GPSC,TESTRANO 600,DA193X,,,32.92,2.54,37.39,2.62,0.63,2.86,,
PTE 1689/02,2025-05-22 00:00:00,,31,32,32,70,10,-,573.2,1.8,42.89,0.238,0.271,-,-,-,-,-,575.6,1.81,44.48,0.246,0.28,-,-,-,-,-,571.5,1.8,41.44,0.23,0.263,-,-,-,-,-,9.97,2.86,-,-,6.98,2.67,-,-,14.61,3.43,-,-,,,,,,,,,10,-,573.9,1.8,61.1,0.338,0.388,-,-,-,-,-,576.9,1.81,59.9,0.33,0.38,-,-,-,-,-,570.5,1.79,58.87,0.328,0.377,-,-,-,-,-,7.62,1.73,-,-,9.52,0.71,-,-,12.33,2.98,-,-,,,,,,,,,Mr.Jirasak S.,Mr.Jirasak S.,GPSC,GPSC,TESTRANO 600,DA193X,2024-10-09 00:00:00,,9.97,2.86,9.52,2.67,14.61,3.43,,
