Equipment Name,Serial No.,SITE,Test Name,Test Company,Withness Name,Withness Company,Test Date,Test Instrument,PercentMoisture (CHL),Oil Conductivity (pS/m)
14100-TR-001 (GTG11),4810106,CUP-1,Mr.Jirasak S.,GPSC,Mr.Suchat M.,GPSC,2025-03-20 00:00:00,DIRANA,1,0.642
14100-TR-005 (GTG13),PP0174B01,CUP-1,Mr.Jirasak S.,GPSC,Mr.Suchat M.,GPSC,2024-03-07 00:00:00,DIRANA,0.8,1.8
14100-TR-002 (GTG12),4811735,CUP-1,Mr.Jirasak S.,GPSC,Mr.Suchat M.,GPSC,2023-10-03 00:00:00,DIRANA,1,0.515
14100-TR-005 (GTG13),PP0174B01,CUP-1,Mr.Jirasak S.,GPSC,Mr.Suchat M.,GPSC,2021-07-23 00:00:00,DIRANA,-,-
14100-TR-006 (GTG14),PP0225B01,CUP-1,Mr.Jirasak S.,GPSC,Mr.Suchat M.,GPSC,2025-01-21 00:00:00,DIRANA,0.9,0.31
14100-TR-006 (GTG14),PP0225B01,CUP-1,Mr.Jirasak S.,GPSC,Mr.Suchat M.,GPSC,2022-02-01 00:00:00,DIRANA,0.6,0.478
10060-TR-001 (GTG15),5110021,CUP-1,Mr.Jirasak S.,GPSC,Mr.Suchat M.,GPSC,2025-10-24 00:00:00,DIRANA,0.5,0.343
KT6A.30.EN,PTE 1689/03,SITE3,Mr.Jirasak S.,GPSC,Mr.Suchat M.,GPSC,2025-01-26 00:00:00,DIRANA,1.3,0.273
KT2A.30.EN,510049,SITE3,Mr.Jirasak S.,GPSC,Mr.Suchat M.,GPSC,2025-02-06 00:00:00,DIRANA,0.5,0.033
KT12A.30.EN,EDP008001,SITE3,Mr.Jirasak S.,GPSC,Mr.Suchat M.,GPSC,2025-05-09 00:00:00,DIRANA,1.3,0.371
16120-TR-001,4803321,CUP-1,Dr. Pethai N,TIS,Mr. Aekkarat M.,GPSC,2022-05-28 00:00:00,PDC-ANALYSER-1MOD,2.7,0.038
16120-TR-006,5101711,CUP-1,Dr. Pethai N,TIS,Mr. Aekkarat M.,GPSC,2022-01-31 00:00:00,PDC-ANALYSER-1MOD,2.3,0.69
