SERIAL_NUMBER,DATE,TEST_VOLTAGE,H1MAX,H1CENTER,H1MIN,H1TAP1,H1NO1,H1TAP2,H1NO2,H2MAX,H2CENTER,H2MIN,H2NO1,H2NO2,H3MAX,H3CENTER,H3MIN,H3NO1,H3NO2,ERRH1MAX,ERRH1CENTER,ERRH1MIN,ERRH1TAP1,ERRH1TAP2,ERRH2MAX,ERRH2CENTER,ERRH2MIN,ERRH2TAP1,ERRH2TAP2,ERRH3MAX,ERRH3CENTER,ERRH3MIN,ERRH3TAP1,ERRH3TAP2,XTESTV,X1,X2,X3,YTESTV,Y1,Y2,Y3,H1COM1,H2COM1,H3COM1,H1COM2,H2COM2,H3COM2,TESTNO,NAME1,NAME2,COMP1,COMP2,TESTINS,INSSERIAL,INSCAL,AMBIENT,OILTEMP,WINDINGTEMP,HUMIDITY,NOTE,MAXERR
14231662_1,2/11/2019,200,-,33.023,-,,-,,-,-,20.589,-,-,-,-,22.909,-,-,-,-,0,-,-,-,-,0,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Mr.Jirasak S.,,Glow,Glow,TESTANO600,DA193X,2/16/2018,25,-,25,56,,0
14231662_2,2/11/2019,200,-,32.365,-,,-,,-,-,19.821,-,-,-,-,22.172,-,-,-,-,0,-,-,-,-,0,-,-,-,-,0,-,-,-,100,11.337,10.608,10.933,-,-,-,-,-,-,-,-,-,-,,Mr.Jirasak S.,,Glow,Glow,TESTANO600,DA193X,2/16/2018,25,-,25,56,,0
14231662_3,2/20/2019,200,-,15.44,-,,-,,-,-,7.583,-,-,-,-,27.161,-,-,-,-,0,-,-,-,-,0,-,-,-,-,0,-,-,-,200,206.881,196.664,196.539,-,-,-,-,-,-,-,-,-,-,,Mr.Jirasak S.,,Glow,Glow,TESTANO600,DA193X,2/16/2018,25,-,25,56,,0
14231662_4,2/20/2019,200,-,38.668,-,,-,,-,-,27.713,-,-,-,-,28.713,-,-,-,-,0,-,-,-,-,0,-,-,-,-,0.32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Mr.Jirasak S.,,Glow,Glow,TESTANO600,DA193X,2/16/2018,25,-,25,56,,0.32
16266510,2/13/2019,200,,6.809,,,,,,,8.458,,,,,9.485,,,,,0,,,,,0,,,,,0,,,,200,111.09,120.83,171.43,50,1701,1395,1870,,,,,,,,Mr. Anusit S.,Mr.Jarin S.,"TIS Engineering & Service Co.,Ltd.",GLOW,Variac/Fluke189,89550211,3/16/2016,31,30,30,32,,0
1LKR040038TER,2/16/2018,200,-,-,-,5-Mar,27.05,-,-,-,-,-,21.57,-,-,-,-,27.12,-,-,-,-,0,-,-,-,-,0,-,-,-,-,0,-,50,1448,1133,1435,-,-,-,-,27.05,21.57,27.12,-,-,-,171052399,Mr. Thanongsak Phikulkaew,Mr. Weerachai Kulala,TIS,GLOW,Variac/Fulke 189,88700531,3/3/2017,26,-,26,67,,0
1LKR050450TER,1/14/2019,200,,20.839,,,,,,,13.766,,,,,21.875,,,,,0,,,,,0,,,,,0,,,,50,848.442,563.103,880.722,,,,,,,,,,,181100890,Jirasak S.,,GLOW-CMT,,TESTRANO 600,DA193X,2/16/2018,22,-,23,76,,0
1LKR091729,1/25/2017,200,,24.408,,,,,,,30.218,,,,,33.526,,,,,0,,,,,0,,,,,0,,,,50,2.905,2.352,2.917,,,,,,,,,,,,Chaiyasit J.,Teerasak W.,"TIS Engineering and Service Co.,Ltd.",GLOW-ME,Variac / Fluke 189,88700532,9/30/2016,27,,,39,,0
1LKR091729,11/30/2019,2,,,,5-Mar,440.951,,,,,,220.246,,,,,443.815,,,,,0,,,,,0,,,,,0,,,,,,,,,,440.95,220.25,443.82,,,,191057172,Mr. Jirasak S.,,CMT-GLOW,GLOW,TESTRANO 600,DA193X,2/16/2018,26,-,26,51,,0
1LKR091730,1/24/2017,200,-,-,-,5-Mar,20.281,-,-,-,-,-,26.395,-,-,-,-,24.516,-,-,-,-,0,-,-,-,-,0,-,-,-,-,0,-,50,2.736,2.318,2.96,-,-,-,-,20.281,26.395,24.516,-,-,-,-,Mr.Chaiyasit Junchay,Mr Teerasak Wanthong,TIS,GLOW,Variac/Fulke 189,88700532,9/30/2016,26,-,-,35,,0
20083122TIC003,8/19/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20083122TIC003,12/15/2022,10000,284.4,337.6,406.7,,-,,-,196.9,234.4,283.1,-,-,289.04,343.4,413,-,-,0.01,0.02,0,-,-,0.03,0.02,0.01,-,-,0,0.01,0.02,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Mr.Worapon J.,Mr.Jirasak S.,TIS,GPSC,TESTRANO 600,GA635A,1/15/2021,31,34,34,66,,0.03
20083122TIC003,6/12/2023,10,283.32,336.53,405.37,-,-,-,-,196.55,233.89,282.35,-,-,288.92,342.83,412.77,-,-,0.39,0.34,0.33,-,-,0.2,0.23,0.27,-,-,0.04,0.18,0.07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30000002044,Mr.Tanasak K.,Mr.Jirasak S.,TIS,GPSC,TESTRANO 600,CA635A,3/9/2023,30,38,38,68,,0.39
20083122TIC008,11/26/2019,,,,-,,,,,,,-,,,,,-,,,,,-,,,,,-,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
20083122TIC008,6/6/2023,10000,150.5,178.1,213.6,-,-,-,-,107.4,128.1,154.8,-,-,150.5,178.1,213.3,-,-,0.02,0.04,0.01,-,-,0.07,0.05,0.05,-,-,0.04,0.04,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Mr.Tanasak K.,Mr.Jirasak S.,TIS,GPSC,TESTRANO 600,CA635A,9/3/2023,32,32,32,69,,0.07
225307,9/8/2023,200,11.16,13.65,15.63,,,,,8.27,10.15,11.6,,,11.15,13.67,15.67,,,0,0,0,,,0,0,0,,,0,0,0,,,,,,,,,,,,,,,,,,Mr. Aran P.,,THAI TRAFO,,Megger/TRAX-220,1800333,,34,34,34,52,SAT,0
225309,9/11/2023,,7.98,7.65,8.42,,,,,5.16,5.63,6.21,,,6.98,7.64,8.37,,,0.38,11.56,11.28,,,15.41,15.34,13.87,,,11.2,10.22,10.77,,,50,993.8,744.2,997.3,,,,,,,,,,,,Mr. Aran P.,,THAI TRAFO,,Megger/TRAX-220,1800333,,34,34,34,49,SAT,15.41
225310,9/8/2023,200,7.04,7.72,8.47,,,,,5.17,5.66,6.22,,,6.96,7.61,8.37,,,12,12.37,12.32,,,22.37,16.27,14.91,,,11.22,12.12,12.08,,,,,,,,,,,,,,,,,,Mr. Aran P.,,THAI TRAFO,,Megger/TRAX-220,1800333,,36,36,36,52,SAT,22.37
225310,9/8/2023,200,7.04,7.72,8.47,,,,,5.17,5.66,6.22,,,6.96,7.61,8.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mr. Aran P.,,THAI TRAFO,,Megger/TRAX-220,1800333,,36,36,36,52,SAT,
243597801,10/21/2014,200,,-,,5-Mar,110.01,,,,-,,90.68,,,-,,102.05,,,-,-,,,,-,,,,,-,,Infinity,,50,3549,2823,3578,,,,,,,,,,,-,Mr Anusit Sara,,"TIS Engineering&Service Co.,Ltd.",,Variac/Fulke 189,8870053,,30,-,-,62,,Infinity
243597801,11/6/2015,200,,-,,5-Mar,112.21,,,,-,,96.86,,,-,,109.68,,,-,,,,,-,,,,,-,,,,50,3.684,2.953,3.458,,,,,,,,,,,-,Mr.Chaiyasit Junchay,,"TIS Engineering&Service Co.,Ltd.",GLOW SPP2,FLUKE 189,8870053,,28,-,-,48,,0
243597801,8/29/2018,200,,,,C,98.445,,,,,,86.306,,,,,92.97,,,,,0,,,,,0,,,,,0,,50,3688,3065,3538,,,,,98.445,86.306,92.97,,,,,Mr Chaichaleom Waihor,Mr Primchart Promkhandee,"TIS Engineering and Service co., Ltd",ENGIE GLOW,TESTRANO 600,DA212X,4/19/2018,,,,,,0
243597802,10/9/2015,200,-,-,-,5-Mar,111.33,-,-,-,-,-,79.45,-,-,-,-,103.54,-,-,-,-,0,-,-,-,-,0,-,-,-,-,0,-,50,3.678,2.755,3.548,-,-,-,-,111.33,79.45,103.54,-,-,-,-,Mr.Chaiyasit Junchay,Mr.Somporn Duangprom,TIS,GLOW,FLUKE 189,88700531,,-,-,-,-,,0
243597802,8/29/2018,200,-,-,-,D-F,100.156,-,-,-,-,-,65.698,-,-,-,-,96.753,-,-,-,-,0,-,-,-,-,0,-,-,-,-,0,-,50,4484,2819,4316,-,-,-,-,100.156,65.698,96.753,-,-,-,-,Mr.Chaichaleom Waihor,Pimchart P.,TIS,GLOW,TESTRANO 600,DA212X,4/19/2018,27,-,27,53,,0
3011080055,6/7/2013,200,31.454,34.2,37.226,-,-,-,-,54.558,60.31,68.43,-,-,34.01,37.008,40.67,-,-,126.58,169.76,220.72,-,-,196.53,258.43,337.78,-,-,85.84,0,168.71,-,-,200,329.6,278.6,396.5,,,,,-,-,-,-,-,-,-,Mr. Anusit Sara,-,"TIS Engineering and Service Co., Ltd",-,Variac/Fulke189,89820090,,32,-,-,68,,337.78
3011080055,6/7/2013,200,31.454,34.2,37.226,-,-,-,-,54.558,60.31,68.43,-,-,34.01,37.008,40.67,-,-,126.58,169.76,220.72,-,-,196.53,258.43,337.78,-,-,85.84,0,168.71,-,-,200,329.6,278.6,396.5,,,,,-,-,-,-,-,-,-,Mr. Anusit Sara,-,"TIS Engineering and Service Co., Ltd",-,Variac/Fulke189,89820090,,32,-,-,68,,337.78
3011080055,1/10/2015,200,13.882,12.678,11.607,2,12.061,4,13.245,18.399,16.826,15.631,16.276,17.624,18.301,37.008,15.135,15.753,17.205,0,0,0,0,0,0,0,0,0,0,0,0,0,1.44,0,200,149.07,109.79,145.82,-,-,-,-,12.061,16.276,15.53,13.245,17.624,17.205,-,Mr.Nipon Boonnako,-,"TIS Engineering and Service Co., Ltd",-,Multimeter Fluke 189,89820090,,32,-,-,68,,0
3011080055,1/9/2017,200,-,13.484,-,-,-,-,-,-,17.75,-,-,-,-,17.309,-,-,-,-,6.36,-,-,-,-,5.49,-,-,-,-,53.23,-,-,-,200,151.6,114.5,153.4,-,-,-,-,-,-,-,-,-,-,-,Mr. Anusit Sara,Mr.Kritsada Kraisomdee,"TIS Engineering and Service Co., Ltd",GHECO ONE,Multimeter-Fluke 189,88700532,9/30/2016,34,32,32,68,,53.23
