SERIAL_NUMBER,DATE,TEST_VOLTAGE,H1MAX,H1CENTER,H1MIN,H1TAP1,H1NO1,H1TAP2,H1NO2,H2MAX,H2CENTER,H2MIN,H2NO1,H2NO2,H3MAX,H3CENTER,H3MIN,H3NO1,H3NO2,ERRH1MAX,ERRH1CENTER,ERRH1MIN,ERRH1TAP1,ERRH1TAP2,ERRH2MAX,ERRH2CENTER,ERRH2MIN,ERRH2TAP1,ERRH2TAP2,ERRH3MAX,ERRH3CENTER,ERRH3MIN,ERRH3TAP1,ERRH3TAP2,XTESTV,X1,X2,X3,YTESTV,Y1,Y2,Y3,H1COM1,H2COM1,H3COM1,H1COM2,H2COM2,H3COM2,TESTNO,NAME1,NAME2,COMP1,COMP2,TESTINS,INSSERIAL,INSCAL,AMBIENT,OILTEMP,WINDINGTEMP,HUMIDITY,NOTE,MAXERR
T012006,2026-10-03 00:00:00,10000,83.25,105.9,140.8,,-,,-,73.45,96.58,129.1,-,-,87.33,107.2,146.1,-,-,0.30,0.86,0.57,-,-,0.62,0.60,0.08,-,-,0.38,0.19,0.07,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Mr.Nattapong M.,Mr.Suchat M.,Hitachi Energy,GPSC,,,,,,,,,0.86
PP0102B01,2026-07-21 00:00:00,10000,13.591,16.119,19.408,-,-,-,-,4.083,4.824,5.78,-,-,13.737,16.358,19.676,-,-,11.40,10.40,9.65,-,-,4.69,2.64,0.34,-,-,12.60,11.28,10.54,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Mr.Jirasak S.,Mr.Suchart M.,GPSC,GPSC,TESTRANO 600,DA193X,2025-12-15,,,,,,12.6
PP0084B01,2026-07-15 00:00:00,10000,11.8,14.024,16.915,,-,,-,4.908,5.816,6.981,-,-,11.822,14.114,17.033,-,-,22.28,22.54,22.62,-,-,5.16,5.55,5.78,-,-,18.10,23.81,18.30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Mr.Jirasak S.,Mr.Suchart M.,GPSC,GPSC,TESTRANO 600,DA193X,2025-12-15,,,,,,23.81
6310534,2026-01-24 00:00:00,10000,41.97,53.83,70.84,,,,,30.28,39.18,52.23,,,42.79,54.52,71.59,,,2.37,1.57,1.20,,,0.93,0.46,0.44,,,1.88,0.96,0.83,,,,,,,,,,,,,,,,,,Mr.Jirasak S.,Mr.Suchart M.,GPSC,GPSC,TESTRANO 600,DA193X,2025-12-15,,,,,,2.37
TP70279703,2026-01-22 00:00:00,-,-,-,-,,,,,-,-,-,,,-,-,-,,,-,-,-,,,-,-,-,,,-,-,-,,,,,,,,,,,,,,,,,,Mr.Polasart T.,Mr.Jirasak S.,Hitachi Energy,GPSC,,,,,,,,,0
3011080055,2026-01-17 00:00:00,6000,,178.79,,,,,,,45.23,,,,,172.39,,,,,0.00,,,,,0.22,,,,,0.00,,,,,,,,,,,,,,,,,,,Mr.Nattapong M.,Mr.Jirasak S.,Hitachi Energy,GPSC,TESTRANO 600,CH158W,,,,,,,0.22
JD85034202,2026-01-09 00:00:00,10000,,69.933,,,,,,,68.992,,,,,97.312,,,,,1.35,,,,,1.46,,,,,0.32,,,,,,,,,,,,,,,,,,,Mr.Kongsak K.,Mr.Jirasak S.,Hitachi Energy,GPSC,TESTRANO 600,FJ571Z,,25,25,25,65,,1.46
6310535,2026-01-07 00:00:00,10000,46.8,59.64,77.92,-,-,-,-,31.3,40.48,53.96,-,-,47.36,60.08,78.33,-,-,1.74,1.08,1.19,-,-,0.97,1.20,1.81,-,-,0.77,0.13,0.42,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Mr.Jirasak S.,Mr.Suchat M.,GPSC,GPSC,TESTRANO 600,CE133V,2025-10-02,,,,,,1.81
5201090,2025-11-29 00:00:00,6000,,107.71,,,,,,,54.55,,,,,95.27,,,,,0.66,,,,,1.02,,,,,0.28,,,,,,,,,,,,,,,,,,,Mr.Nattapong M.,Mr.Pornpong S.,Hitachi Energy,GPSC,,,,,,,,,1.02
5200523,2025-11-29 00:00:00,3000,-,54.77,-,,-,,-,-,23.28,-,-,-,-,46.20,-,-,-,-,1.43,-,-,-,-,1.22,-,-,-,-,0.43,-,-,-,,,,,,,,,-,-,-,-,-,-,,Mr.Nattapong M.,Mr.Panya L.,Hitachi Energy,GPSC,TESTRANO 600,,,36,38,38,64,,1.43
