Equipment Name,Serial No.,SITE,Test Name,Test Company,Withness Name,Withness Company,Test Date,Test Instrument,Summary,Trace 1,Trace 2,Trace 3,Trace 4,Trace 5,Trace 6,Trace 7,Trace 8,Trace 9,Trace 10,Trace 11,Trace 12,Trace 13,Trace 14,Trace 15,Trace 16,Trace 17,Trace 18,Trace 19
14100-TR-001 (GTG11),4810106,CUP-1,Mr.Jirasak S.,GPSC,Mr.Suchat M.,GPSC,2025-03-20 00:00:00,FRANO 800,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,,,,
14100-TR-002 (GTG12),4811735,CUP-1,Mr.Jirasak S.,GPSC,Mr.Suchat M.,GPSC,2023-10-03 00:00:00,FRANO 800,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,,,,
14100-TR-005 (GTG13),PP0174B01,CUP-1,Mr.Jirasak S.,GPSC,Mr.Suchat M.,GPSC,2021-07-23 00:00:00,FRANO 800,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,,,,
14100-TR-006 (GTG14),PP0225B01,CUP-1,Mr.Jirasak S.,GPSC,Mr.Suchat M.,GPSC,2025-01-21 00:00:00,FRANO 800,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,,,,
14100-TR-006 (GTG14),PP0225B01,CUP-1,Mr.Jirasak S.,GPSC,Mr.Suchat M.,GPSC,2022-02-01 00:00:00,FRANO 800,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,,,,
10060-TR-001 (GTG15),5110021,CUP-1,Mr.Jirasak S.,GPSC,Mr.Suchat M.,GPSC,2022-10-24 00:00:00,FRANO 800,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,,,,
16120-TR-001,4803321,CUP-1,Mr.Tanasak,TIS,Mr. Aekkarat M.,GPSC,2022-05-28 00:00:00,FRAX,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,,,,
16120-TR-003,4902687,CUP-1,,,,,,,,,,,,,,,,,,,,,,,,,,
16120-TR-004,5001769,CUP-1,,,,,,,,,,,,,,,,,,,,,,,,,,
16120-TR-006,5101711,CUP-1,,,,,,,,,,,,,,,,,,,,,,,,,,
16120-TR-005B,5001700,CUP-1,Mr.Polasart,Hitachi Energy,Mr.Pornpong S.,GPSC,2025-01-31 00:00:00,IDAX,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,,,,
KT6A.30.EN,PTE 1689/03,SITE3,Mr.Jirasak S.,GPSC,Mr.Suchat M.,GPSC,2025-01-26 00:00:00,FRANO 800,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,,,,
KT2A.30.EN,510049,SITE3,Mr.Jirasak S.,GPSC,Mr.Suchat M.,GPSC,2025-02-06 00:00:00,FRANO 800,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,,,,
KT12A.30.EN,EDP008001,SITE3,Mr.Jirasak S.,GPSC,Mr.Suchat M.,GPSC,2025-05-09 00:00:00,FRANO 800,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,,,,
