Serial_No,Site,Model_Type,Power_Rated,HV_Rated,LV_Rated,Test_Date,TurnRatio_HL1_Tap_Max_HV,TurnRatio_HL1_Tap_Max_LV,TurnRatio_HL1_Tap_Max_Ratio,TurnRatio_HL1_Tap_Cen_HV,TurnRatio_HL1_Tap_Cen_LV,TurnRatio_HL1_Tap_Cen_Ratio,TurnRatio_HL1_Tap_Min_HV,TurnRatio_HL1_Tap_Min_LV,TurnRatio_HL1_Tap_Min_Ratio,TurnRatio_HL2_Tap_Max_HV,TurnRatio_HL2_Tap_Max_LV,TurnRatio_HL2_Tap_Max_Ratio,TurnRatio_HL2_Tap_Cen_HV,TurnRatio_HL2_Tap_Cen_LV,TurnRatio_HL2_Tap_Cen_Ratio,TurnRatio_HL2_Tap_Min_HV,TurnRatio_HL2_Tap_Min_LV,TurnRatio_HL2_Tap_Min_Ratio,Iexc_Max_A,Iexc_Max_B,Iexc_Max_C,Iexc_Cen_A,Iexc_Cen_B,Iexc_Cen_C,Iexc_Min_A,Iexc_Min_B,Iexc_Min_C,PF_C_Main_Tank,PF_C_OLTC,PF_C_Winding_HLHG,PF_C_Winding_HL,PF_C_Winding_HG,PF_C_Winding_LHLG,PF_C_Winding_LH,PF_C_Winding_LG,PF_C_Winding_LTLG,PF_C_Winding_LT,PF_C_Winding_L,PF_C_Winding_TGTH,PF_C_Winding_TH,PF_C_Winding_TG,ShortZ_X_Max,ShortZ_X_Cen,ShortZ_X_Min,ShortZ_Y_Max,ShortZ_Y_Cen,ShortZ_Y_Min,WindResist_Winding_Temp,WindResist_Corrected_Temp,WindResist_A_Tap_Max,WindResist_B_Tap_Max,WindResist_C_Tap_Max,WindResist_A_Tap_Cen,WindResist_B_Tap_Cen,WindResist_C_Tap_Cen,WindResist_A_Tap_Min,WindResist_B_Tap_Min,WindResist_C_Tap_Min,WindResist_LV_A,WindResist_LV_B,WindResist_LV_C,WindResist_TV_A,WindResist_TV_B,WindResist_TV_C,PF_Result,TR_Result,Exci_Result,Short_Result,WR_Result
14231662_1,SITE2,DYHK,1600,6.6,0.4,2018-11-26,6930,400,30.0069,6600,400,28.578,6270,400,27.1491,,,,,,,,,,,,,33.023,20.589,22.909,,,,,,1628.1,1358.6,651.9,7513.2,1362.3,6150.2,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,6.0,,,,,46,75,,,,262.8543,262.7815,262.5443,,,,227.8979,225.1450,225.9041,,,,,,,,
14231662_2,SITE2,DYHK,1600,6.6,0.400,2019-02-11,6930,400,30.006,6600,400,28.578,6270,400,27.1491,-,-,-,-,-,-,-,-,-,-,-,-,32.365,19.821,22.172,-,-,-,,,1691.4,1367.8,671,10251,1368.5,8882.6,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",-,6.0,-,-,-,-,30,75,NaN,NaN,NaN,274.9975,274.3668,274.6406,NaN,NaN,NaN,283.9431,285.2818,284.5224,NaN,NaN,NaN,,,,,
14231662_3,SITE2,DYHK,1600,6.6,0.4,2018-11-26,6930,400,30.0069,6600,400,28.578,6270,400,27.1491,,,,,,,,,,,,,15.440,7.583,27.161,,,,,,1644.9,1359.9,273.6,7488.3,1360.6,6127.5,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,6.0,,,,,50,75,,,,257.2070,257.4866,257.7520,,,,228.0477,224.0149,226.1069,,,,,,,,
14231662_4,SITE2,DYHK,1600,6.6,0.4,2018-11-26,6930,400,30.0069,6600,400,28.578,6270,400,27.1491,,,,,,,,,,,,,38.668,27.713,28.804,,,,,,1665.3,1371.0,274.2,9538.0,1371.0,8166.8,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,6.0,,,,,40,75,,,,267.2941,269.1094,268.5592,,,,229.9940,227.6353,232.0145,,,,Oldest Test,Factory Test,Oldest Test,Oldest Test,Oldest Test
170709/1,GHECO-ONE,,1170,10.5,0.156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer",,,,,,,,75,,,,,,,,,,,,,,,,Factory Test,Factory Test,Factory Test,Factory Test,Factory Test
170709/2,GHECO-ONE,,1170,10.5,0.156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer",,,,,,,,75,,,,,,,,,,,,,,,,Factory Test,Factory Test,Factory Test,Factory Test,Factory Test
190869,RDF,-,10000,22,6.9,2020-01-05,24200,6900,2.025,22000,6900,1.841,19800,6900,1.656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer","Required,Only 3 Windings Transformer",7.72,7.34,7.13,,,,29.6,75,231.7441,232.6934,231.9668,195.6729,195.5792,195.3213,231.7441,232.7871,231.9902,17.6770,17.6395,17.7497,,,,Factory Test,Factory Test,Factory Test,Factory Test,Factory Test
1LKR040038TER,SITE3,-,1000,6.9,0.42,2018-02-16,7245,420,17.25,6900,420,16.43,6555,420,15.61,,,,,,,,,,,,,,,,,,,,,1491.3,1286.6,204.7,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,5.77,,,,,26,75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3968,0.4004,0.4016,,,,Oldest Test,Factory Test,,Factory Test,Oldest Test
1LKR050450TER,SITE3,-,1000,6.9,0.42,2016-02-03,7245,420,17.25,6900,420,16.428,6555,420,15.607,,,,,,,,,,,,,20.839,13.766,21.875,,,,,,1528.1,1328.5,199.6,,,,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,5.580,,,,,25,75,NaN,,,441.7680,440.8139,440.6946,,,,0.0005,0.0005,0.0005,,,,Oldest Test,Factory Test,Oldest Test,Factory Test,Oldest Test
1LKR091730,SITE3,-,3325,6.9,0.42,2017-01-24,7245,420,29.877,6900,420,28.454,6555,420,27.031,,,,,,,,,,,,,,,,,,,,,2071.7,1785.6,286.1,5405.3,1742.3,3663.0,,,,"Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer","Required,Only 3 Windings Power Transformer",,6.31,,,,,26,75,,,,,,,,,,0.1284,0.1285,0.1300,,,,,,,,
