serial,date,test_NO,test_voltage,H_1,H_2,H_3,H_4,H_5,H_6,H_7,H_8,H_9,H_10,H_PI,test_voltage2,L_1,L_2,L_3,L_4,L_5,L_6,L_7,L_8,L_9,L_10,L_PI,test_voltage3,T_1,T_2,T_3,T_4,T_5,T_6,T_7,T_8,T_9,T_10,T_PI,comment,test_name,witness_name,COMP1,COMP2,test_instrument,serial_instrument,date_calibation,ambient_temp,oil_temp,winding_temp,humidity,coregnd,framegnd,coreframe
PP0102B01,2026-07-20 00:00:00,,2500,11720,13530,14860,15900,16810,17570,18270,19070,19690,20300,1.7321,2500,16020,18230,19790,20900,22000,23000,23800,24500,25200,26200,1.6355,-,-,,,,,,,,,-,-,,Mr.Jirasak S.,Mr.Suchart M.,GPSC,GPSC,Megger S1-1068,101710385,2026-06-19,32,34,34,61,1000,1000,1000
PP0084B01,2026-07-16 00:00:00,,2500,2800,3960,4900,5640,6310,6890,7430,7900,8470,8750,3.1250,2500,1942,3050,3970,4760,5420,6010,6510,7060,7460,7860,4.0474,2500,5100,7280,9010,10390,11460,12340,13040,13700,14240,14780,2.8980,,Mr.Jirasak S.,Mr.Suchart M.,GPSC,GPSC,Megger S1-1068,-,0000-00-00,,,,,1000,1000,1000
PP0016B01,2026-06-28 00:00:00,,2500,4640,5580,6200,6710,6950,7440,7760,8100,8460,8640,1.8621,2500,2920,3820,4520,5090,5590,6110,6580,7020,7380,7740,2.6507,-,-,,,,,,,,,-,-,,Mr.Jirasak S.,Mr.Suchart M.,GPSC,GPSC,TESTRANO 600,DA193X,0000-00-00,36,44,44,52,1000,1000,1000
PP0181B01,2026-06-11 00:00:00,,2500,16.39,18.05,19.63,20.7,22.1,23.2,24.1,25.1,26.1,27.0,1.6473,2500,9.01,10.60,11.9,12.98,13.9,14.72,15.48,16.20,16.84,17.41,1.9323,,-,,,,,,,,,-,-,,Mr.Methee M.,Mr.Suchat M.,GPSC,GPSC,,,0000-00-00,,34,34,67,1000,1000,1000
PP0158B01,2026-05-31 00:00:00,,-,16570,17990,19040,20100,21500,21900,22800,23700,244100,24700,1.4906,5000,10160,12160,13650,14880,16080,17120,18300,19090,20000,20800,2.0472,-,-,,,,,,,,,-,-,,Mr.Jirasak S.,Mr.Suchart M.,GPSC,GPSC,Megger S1-1068,,0000-00-00,,,,,1000,1000,1000
9640549,2026-05-21 00:00:00,,-,-,-,-,-,-,-,-,-,-,-,-,2500 (X Side),2010,2780,3430,3970,4510,4970,5400,5820,6190,6580,3.2736,2500( Y Side),2040,2700,3240,3700,4120,4470,4820,5130,5410,5700,2.7941,,Mr. Methee M.,,GPSC,,Megger S1-1068,CH158W,0000-00-00,,,,,1000,1000,1000
508038,2026-03-25 00:00:00,,5000,4921,-,-,-,-,-,-,-,-,9940,2.0199,2500,2814,-,-,-,-,-,-,-,-,7260,2.5800,-,-,,,,,,,,,-,-,,Mr.Jirasak S.,Mr.Suchart M.,GPSC,GPSC,Megger S1-1068,,0000-00-00,,,,,,,
TP70279703,2026-01-23 00:00:00,,2500,1610,1696,1851,1926,1982,2070,2060,240,2170,2200,1.3665,2500,1973,2660,2520,2750,2920,3008,3230,3350,3430,3500,1.7739,,,,,,,,,,,,,,Mr.Polasart T.,Mr.Jirasak S.,Hitachi Energy,GPSC,Megger,,0000-00-00,32,36,38,50,280000,253000,277000
JD85034202,2026-01-09 00:00:00,,2500,500000,,,,,,,,,647000,1.2940,500,1,,,,,,,,,800,800.0000,-,-,,,,,,,,,-,-,,Mr.Kongsak K.,Mr.Jirasak S.,Hitachi Energy,GPSC,TESTRANO 600,FJ571Z,0000-00-00,,,,,1000,1000,1000
6310535,2026-01-07 00:00:00,,5000,124900,138200,147000,151700,155900,160100,162500,165200,167700,170000,1.3611,2500,159900,176700,191800,208000,222000,230000,241000,249000,256000,264000,1.6510,-,-,,,,,,,,,-,-,,Mr.Jirasak S.,Mr.Suchart M.,GPSC,GPSC,Megger S1-1068,-,0000-00-00,,,,,133800,95200,1989
