Serial_No,Date,Test_No,Name1,Name2,COMP1,COMP2,Test_Instrument,Instrument_Serial_No,Calibration_Date,Ambient_Temp,Oil_Temp,Winding_Temp,Humidity,O2,N2,CO2,CO,H2,CH4,C2H2,C2H4,C2H6,C3H6,C3H8,TDCG,Temp,BD,WC,IFT,Acidity_No,Color_No,PF_25,PF_100,Corrosive_Sulfur,Passivator,Sludge_Condition,Conductivity,Furan_Analysis,Test_Result
1626651,10/20/2009,,,,,,,,,,,,,24557,62512,4781,298,10,5,0,2,6,2,6,N/A,,41,41624,27.9,0.063,N/A,N/A,N/A,Noncorrosive,95,N/A,N/A,<10,
1626651,4/26/2010,,,,,,,,,,,,,0,0,5499,268,19,0,0,0,5,0,0,,,56,13,44,0.04,1.5,0.25,3.66,Noncorrosive,74,N/A,N/A,26,
1626651,1/5/2011,,,,,,,,,,,,,34646,51618,2199,85,2,2,0,6,3,13,27,,,51,13.13,35.6,0.0942,2.5,0.19,10.25,Noncorrosive,75,no sludge,0.0245,ND,
1626651,7/8/2011,,,,,,,,,,,,,10033,17237,3713,112,20,0,0,10,2,5,0,,,48,15.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
1626651,12/24/2011,,,,,,,,,,,,,20149,23392,2832,178,12,2,0,12,3,8,11,,,46,18.64,34.7,0.0916,1.5,0.138,2.247,Noncorrosive,50,no sludge,8.35,ND,
1626651,6/2/2012,,,,,,,,,,,,,23228,51325,7439,681,0,4,0,0,1,0,22,,,53,41624,-,-,-,-,-,-,-,-,-,-,
1626651,1/15/2013,,,,,,,,,,,,,16336,44110,5871,252,42,1,0,0,0,0,14,,,50,15.87,36.1,0.0804,1.5,0.192,2.842,Noncorrosive,68,no slugdge,3.88,ND,
1626651,12/19/2013,,,,,,,,,,,,,16790,45328,5578,231,48,0,0,0,0,0,12,,,61,5.23,25.8,0.0213,2,0.129,1.762,1b,36.44,no slugdge,2.2,ND,
16266510,1/25/2019,,Mr. Ekkarach W.,Mr. Phimchart P.,FOCUS LAB,CMT-GLOW,,,,30,38,38,55,10784,32760,235,6,0,0,0,0,0,19,2,6,38,72.9,10.3,48.4,0.001,1,0.002,0.311,Non Corrosive,0,0.003,0.12,0,NORMAL
16266534,10/20/2009,,,,,,,,,,,,,35632,77955,3121,303,20,3,0,2,8,1,1,,,52,10,39.9,0.028,0.5,N/A,N/A,Noncorrosive,N/A,N/A,N/A,<10,
16266534,4/26/2010,,,,,,,,,,,,,0,0,3517,308,70,0,0,0,0,0,0,,,45,15,46.5,0.02,1,0.05,1.35,Noncorrosive,N/A,no sludge,N/A,25,
16266534,1/5/2011,,,,,,,,,,,,,47204,47037,1305,90,13,1,0,2,0,23,28,,,51,12.49,28,0.0304,1,0,0,Noncorrosive,104,no sludge,0.165,ND,
16266534,7/8/2011,,,,,,,,,,,,,37041,54439,1531,107,0,0,0,9,0,0,0,,,52,14.03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
16266534,12/24/2011,,,,,,,,,,,,,9472,24273,1752,187,24,1,0,4,1,0,0,,,56,16.31,34.6,0.0206,1,0.037,0.528,Noncorrosive,101,no sludge,1.73,ND,
16266534,6/2/2012,,,,,,,,,,,,,19679,44379,3287,467,20,3,0,0,0,1,0,,,53,14.59,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
16266534,1/15/2013,,,,,,,,,,,,,20867,56788,1931,272,48,2,0,0,0,0,0,,,56,18.62,36.6,0.0463,1,0.09,0.67,Noncorrosive,86,no sludge,2.84,ND,
16266534,12/19/2013,,,,,,,,,,,,,20296,54672,2005,342,58,4,0,0,0,0,0,,,38,19.66,27.1,0.0189,0.5,0.104,0.749,1a,11.377,no sludge,2.22,ND,
16276521,10/20/2009,,,,,,,,,,,,,34786,77462,4137,225,15,3,0,5,8,6,14,,,29,8,33,0.044,N/A,N/A,N/A,Noncorrosive,72,N/A,N/A,<10,
16276521,4/26/2010,,,,,,,,,,,,,0,0,4545,237,22,0,0,0,2,0,0,,,61,14,45.8,0.056,1.5,0.25,3.66,Noncorrosive,68,N/A,N/A,26,
16276521,1/5/2011,,,,,,,,,,,,,48833,46039,1802,56,1,56,0,5,2,12,22,,,51,15.5,35.5,0.0137,2.5,0.09,5.18,Noncorrosive,77,no sludge,0.0245,ND,
16276521,7/8/2011,,,,,,,,,,,,,23412,44567,3216,312,20,10,0,0,4,10,15,,,50,14.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
16276521,12/24/2011,,,,,,,,,,,,,14951,25557,2837,291,20,1,0,17,2,8,12,,,48,18.64,34.7,0.0916,1.5,0.128,1.998,Noncorrosive,65,no sludge,4.16,ND,
16276521,6/2/2012,,,,,,,,,,,,,19188,44163,5173,561,20,4,0,0,1,0,17,,,54,18.47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
16276521,1/15/2013,,,,,,,,,,,,,16256,34826,3916,258,44,2,0,0,1,0,2,,,52,16.87,35.1,0.0843,1.5,0.157,2.461,Noncorrosive,48,no slugdge,2.34,ND,
16276521,12/19/2013,,,,,,,,,,,,,16736,35620,4092,281,51,5,0,0,0,0,8,,,48,8.5,27.5,0.001,1.5,0.152,1.718,3a,63.866,no slugdge,2.2,ND,
16276521,7/12/2018,,Mr. Ekkarach W.,Mr. Phimchart P.,FOCUS LAB,CMT-GLOW,81807048,Before oil regeneration,,33,44,47,57.9,27191,70355,4567,151,10,3,0,1,3,12,7,167,38,56,8.6,23.2,0.003,2.5,0.063,2.063,Non Corrosive,18.17,0.016,2.4,10.3,NORMAL
16276521,1/25/2019,191005129,Mr. Ekkarach W.,Mr. Phimchart P.,FOCUS LAB,CMT-GLOW,81901087,After oil regeneration,,33,34,34,36,32670,10784,235,6,0,0,0,0,0,19,2,6,34,72.9,10.3,48.4,0.001,1,0.002,0.311,Non Corrosive,0,0.003,0.12,1,NORMAL
16276522,10/20/2009,,,,,,,,,,,,,25710,74683,2401,319,26,3,0,1,5,3,10,,,48,9,34.3,0.051,N/A,N/A,N/A,Noncorrosive,133,N/A,N/A,<10,
16276522,4/26/2010,,,,,,,,,,,,,0,0,3476,267,85,0,0,2,25,0,0,,,54,14,53.7,0.036,1.5,0.05,1.35,Noncorrosive,114,N/A,N/A,23,
16276522,1/5/2011,,,,,,,,,,,,,41100,48592,1905,246,47,3,0,0,0,15,26,,,46,14.21,32.6,0.0523,2,0.03,3.3,Noncorrosive,95,no sludge,8.13,ND,
16276522,7/8/2011,,,,,,,,,,,,,17617,59648,2510,162,52,0,0,13,0,2,15,,,46,14.06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
16276522,12/24/2011,,,,,,,,,,,,,18985,36545,2207,138,24,1,0,26,2,0,0,,,49,10.6,34.7,0.02,1.5,0.084,1.15,Noncorrosive,95,no sludge,1.75,ND,
16276522,6/2/2012,,,,,,,,,,,,,17228,38303,3715,538,14,3,0,0,0,2,12,,,43,13.89,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
16276522,1/15/2013,,,,,,,,,,,,,14092,37236,2302,208,76,2,0,0,0,1,1,,,43,12.95,30,0.036,1.5,0.0965,1.542,Noncorrosive,87,no slugdge,1.32,ND,
16276522,12/19/2013,,,,,,,,,,,,,13780,38492,2403,257,72,1,0,0,0,2,0,,,55,14.13,28.3,0.003,1,0.291,1.06,1b,8.042,no slugdge,2.19,ND,
20083122TIC003,12/28/2011,-,IEC,-,TIS,GLOW,-,"12M_71,72,73",12/28/2011,-,-,-,-,5217,14321,1207,196,0,0,0,0,0,1,0,196,60,56.9,5.2,30.4,0.002,0.5,0.033,0.303,-,0,0,0.86,0,NORMAL
20083122TIC003,6/11/2012,-,IEC,-,TIS,GLOW,-,"6M_71,72",6/11/2012,-,-,-,-,9279,24512,1714,151,0,0,0,0,0,1,0,151,58,39.26,9.9,30.4,0.002,0.5,0.033,0.303,-,0,0,0.86,0,NORMAL
20083122TIC003,1/16/2013,-,IEC,-,TIS,-,-,12M,1/16/2013,-,-,-,-,13617,38846,1841,227,3,6,0,0,0,0,0,236,55,44.08,8.25,33.2,0.001,0.5,0.031,0.421,-,0,0,0.68,0,NORMAL
20083122TIC003,12/18/2013,-,IEC,-,TIS,GLOW,-,12M,12/18/2013,-,-,-,-,12947,50384,2483,213,8,3,0,0,0,0,0,224,48,56.3,10.11,32.4,0.004,0.5,0.072,0.723,-,0,0,0.79,0,NORMAL
20083122TIC003,7/24/2014,-,IEC,-,TIS,GLOW,-,6M,7/24/2014,-,-,-,-,15585,46345,2692,286,10,4,0,13,2,0,0,271,48,56.3,10.02,32.4,0.004,0.5,0.072,0.723,-,0,0,0.79,0,NORMAL
20083122TIC003,1/8/2015,-,IEC,-,TIS,GLOW,-,12M,,-,-,-,-,15585,46345,2692,286,10,4,0,13,2,0,0,286,50,59.64,12.65,36.4,0.014,0.5,0.116,0.683,-,0,0,0.18,0,NORMAL
20083122TIC003,9/7/2015,-,IEC,-,TIS,GLOW,-,6M,9/7/2015,-,-,-,-,19477,43963,3228,301,14,5,0,10,0,0,0,330,55,39.06,10.81,36.4,0.014,0.5,0.116,0.683,-,0,0,0.18,0,NORMAL
