parentSerialNo,kksNo,equipmentName,plantSite,location,vectorGroup,serviceType,oltcManufacturer,oltcModelYear,oltcModelType,oltcSerialNo,motorDrive,counterOperated,tapNo,transitionResistorOhm,maintenanceTime,contactLife,stepVoltageV,currentA,lastInspection,nextDue,description,remark
PP0084B01,14100-TR-003,TR-003,CUP-1,CUP-1,Dyn1,Distribution Transformer,MR,2005,V III 200D-123/76-10 19 3W,1012608,ED100S,58148,17,,,,,,2023,2029,V III 200D-123/76-10 19 3W,
PP0102B01,14100-TR-004,TR-004,CUP-1,CUP-1,Dyn1,Distribution Transformer,MR,2006,V III 200D-123/76-10 19 3W,1016766,ED100S,80505,17,6.54,7,,1438,161,2023,2029,V III 200D-123/76-10 19 3W,
4912022,24201-TR-011,24201-TR-011,CUP-2,CUP-2,Dyn5,Auxiliary Transformer,ABB,2007,UZFDT 200/600,1ZSC8677902,BUF3,,25,0.6,"After 80,000 or every 7 year",390000,110,393,2023,2029,"ABB, Type: UZFDT 200/600 SN:1ZSC8677903 Motor: BUF3",
4912023,24201-TR-012,24201-TR-012,CUP-2,CUP-2,Dyn5,Auxiliary Transformer,ABB,2007,UZFDT 200/600,1ZSC8677903,BUF3,276187,25,0.6,"After 80,000 or every 7 year",390000,110,393,2023,2029,"ABB, Type: UZFDT 200/600 SN:1ZSC8677902 Motor: BUF3",
PP0158B01,34101-TR-001,TR-001,CUP-3,CUP-3,Dyn1,Distribution Transformer,MR,2007,VIII200D,1051093,ED100S,,11,8.54,,,-,122,2023,2029,V III 200D-123/76-10133W,
PP0181B01,34101-TR-002,TR-002,CUP-3,CUP-3,Dyn1,Distribution Transformer,MR,2008,VIII200D,1064569,ED100S,,11,8.54,,,-,122,2023,2029,V III 200D-123/76-10133W,
6110201,41BAT01,41BAT01,CUP-4,CUP-4,YNd11,GSUT,ABB,2018,UZEDN 500/600,1ZSC8724632,BUF3,,20,1.6,"After 40,000 or every 7 year",210000,830,508,2025,2031,"ABB, Type: UZEDN 500/600 SN:1ZSC8724632  Motor:BUF3",
6110202,41BAT02,41BAT02,CUP-4,CUP-4,Dyn1,Distribution Transformer,ABB,2018,UZEDT 550/300,1ZSC8724633,BUF3,,17,8.6,"After 100,000 or every 7 year",50000,1438,168,2019,2027,"ABB, Type: UZEDT 550/300 SN:1ZSC8724633  Motor:BUF3",Plan to Overhaul on 2027
6110203,41BBT20GT001,41BBT01,CUP-4,CUP-4,Dyn5,Auxiliary Transformer,ABB,2018,UBBRT 200/400,1ZSC8725101,BUF2,,17,,,,,,2025,2031,"ABB, Type: UBBRT 200/400 SN:1ZSC8725101 Motor: BUL2",
TP70279703,35-61-61BAT01,61BAT01,GHECO-ONE,GHECO-ONE,YNd11,GSUT,MR,2010,3XRI3003,1123952,ED200L,,24,"1.1, 1.75",,,1697,2443,2023,2029,"MR. Type:3XRI3003-17/C-14263W, SN:1123952,",
