Serial_No,Date,Test_No,Name1,Name2,COMP1,COMP2,Test_Instrument,Instrument_Serial_No,Calibration_Date,Ambient_Temp,Oil_Temp,Winding_Temp,Humidity,A_O2,A_N2,A_CO2,A_CO,A_H2,A_CH4,A_C2H2,A_C2H4,A_C2H6,A_C3H6,A_C3H8,A_BD,A_WC,A_PF_25,A_PF_100,A_Test_Result,B_O2,B_N2,B_CO2,B_CO,B_H2,B_CH4,B_C2H2,B_C2H4,B_C2H6,B_C3H6,B_C3H8,B_BD,B_WC,B_PF_25,B_PF_100,B_Test_Result,C_O2,C_N2,C_CO2,C_CO,C_H2,C_CH4,C_C2H2,C_C2H4,C_C2H6,C_C3H6,C_C3H8,C_BD,C_WC,C_PF_25,C_PF_100,C_Test_Result
5710877,2025-12-03 00:00:00,,Mr. Aekapong Klamchang,Mr.Pimchart P.,Hitachi Energy,GPSC,Hitachi Energy,12M,,,,,,27499,79471,2200,328,31,9,0,42,1,3,1,84.6,11.0,0.004,1.331,NORMAL,27499,79471,2200,328,31,9,0,42,1,3,1,84.6,11.0,0.004,1.331,NORMAL,27499,79471,2200,328,31,9,0,42,1,3,1,84.6,11.0,0.004,1.331,NORMAL
EDP004301,2025-12-03 00:00:00,,Mr. Aekapong Klamchang,Mr.Pimchart P.,Hitachi Energy,GPSC,Hitachi Energy,12M,,,30,,,9570,73090,359,571,2537,293,1308,461,12,83,3,94.5,5.1,0.261,5.191,NORMAL,9570,73090,359,571,2537,293,1308,461,12,83,3,94.5,5.1,0.261,5.191,NORMAL,9570,73090,359,571,2537,293,1308,461,12,83,3,94.5,5.1,0.261,5.191,NORMAL
PP0041B01,2025-12-03 00:00:00,,Mr. Aekapong Klamchang,Mr.Pimchart P.,Hitachi Energy,GPSC,Hitachi Energy,12M,,,,,,16246,63659,79,160,2531,170,107,89,9,8,3,95.6,3.9,0.002,0.193,NORMAL,16246,63659,79,160,2531,170,107,89,9,8,3,95.6,3.9,0.002,0.193,NORMAL,16246,63659,79,160,2531,170,107,89,9,8,3,95.6,3.9,0.002,0.193,NORMAL
PP0091B01,2025-12-03 00:00:00,,Mr. Aekapong Klamchang,Mr.Pimchart P.,Hitachi Energy,GPSC,Hitachi Energy,12M,,,,,,19509,66564,1706,385,107,6,0,6,0,2,0,92.8,9.9,0.012,0.631,NORMAL,19509,66564,1706,385,107,6,0,6,0,2,0,92.8,9.9,0.012,0.631,NORMAL,19509,66564,1706,385,107,6,0,6,0,2,0,92.8,9.9,0.012,0.631,NORMAL
6110201,2025-11-17 00:00:00,,Aekapong Klamchang,Pimchart P.,Hitachi Energy,GPSC,Hitachi Energy,12M,,,58,,,14009,43263,194,7,0,1,0,0,0,0,0,99.2,13.5,0.012,0.382,NORMAL,14009,43263,194,7,0,1,0,0,0,0,0,99.2,13.5,0.012,0.382,NORMAL,14009,43263,194,7,0,1,0,0,0,0,0,99.2,13.5,0.012,0.382,NORMAL
6110202,2025-11-17 00:00:00,,Aekapong Klamchang,Pimchart P.,Hitachi Energy,GPSC,,,,,44,,,1767,105376,1581,271,1767,131,1268,173,8,42,3,51.4,13.6,0.033,0.765,NORMAL,1767,105376,1581,271,1767,131,1268,173,8,42,3,51.4,13.6,0.033,0.765,NORMAL,1767,105376,1581,271,1767,131,1268,173,8,42,3,51.4,13.6,0.033,0.765,NORMAL
6110203,2025-11-17 00:00:00,,Aekapong Klamchang,Pimchart P.,Hitachi Energy,GPSC,Hitachi Energy,12M,,,38,,,36850,93199,389,7,11,2,26,3,0,0,0,45.8,16.7,0.015,0.532,,36850,93199,389,7,11,2,26,3,0,0,0,45.8,16.7,0.015,0.532,,36850,93199,389,7,11,2,26,3,0,0,0,45.8,16.7,0.015,0.532,
T012006,2025-11-14 00:00:00,,Mr. Aekapong Klamchang,Mr.Pimchart P.,Hitachi Energy,GPSC,Hitachi Energy,12M,,,58,,,100505,502979,2554,491,4799,810,1779,1104,80,292,23,73.8,25.2,0.052,1.960,NORMAL,101101,498160,2749,508,6067,1127,2715,1509,90,343,19,84.3,27.9,0.036,1.263,NORMAL,98676,498536,2958,564,8645,1626,4110,2104,116,413,17,79.7,30.7,0.021,0.803,NORMAL
T012023,2025-11-14 00:00:00,,Mr. Aekapong Klamchang,Mr.Pimchart P.,Hitachi Energy,GPSC,Hitachi Energy,12M,,,,,,114092,486501,1726,265,5380,502,2008,548,21,96,5,84.3,36.6,0.012,0.225,NORMAL,109278,483312,1866,298,6470,639,2123,639,28,113,6,45.8,25.4,0.011,0.235,NORMAL,104486,477348,1678,280,7324,691,2250,733,31,116,6,79.8,26.1,0.011,0.347,NORMAL
4912022,2025-11-11 00:00:00,,Aekapong Klamchang,Pimchart P.,Hitachi Energy,GPSC,Hitachi Energy,12M,,,41,,,20929,61296,1238,168,5676,280,3466,286,6,48,3,63.9,17.2,0.003,0.217,NORMAL,20929,61296,1238,168,5676,280,3466,286,6,48,3,63.9,17.2,0.003,0.217,NORMAL,20929,61296,1238,168,5676,280,3466,286,6,48,3,63.9,17.2,0.003,0.217,NORMAL
