Equipment Name,Serial No.,SITE,Tap Changer Type,Test Name,Test Company,Reviewed,Withness Company,Test Date,Test Instrument,Summary,SoundCam,HV Cable Ph.A,HV Cable Ph.B,HV Cable Ph.C,LV Cable Ph.A,LV Cable Ph.B,LV Cable Ph.C,Neutral,
10060-TR-001 (GTG15),5110021,CUP-1,NLTC,Mr.Wongsakorn L.,GPSC,Mr.Atinat B.,GPSC,2025-02-07 00:00:00,PD Online,Normal,Noise,Noise,Noise,Noise,Noise,Noise,Noise,Noise,
14100-TR-001 (GTG11),4810106,CUP-1,NLTC,Mr.Wongsakorn L.,GPSC,Mr.Atinat B.,GPSC,2025-02-07 00:00:00,PD Online,Normal,Noise,Noise,Noise,Noise,Noise,Noise,Noise,Noise,
14100-TR-002 (GTG12),4811735,CUP-1,NLTC,Mr.Wongsakorn L.,GPSC,Mr.Atinat B.,GPSC,2025-02-07 00:00:00,PD Online,Normal,Noise,Noise,Noise,Noise,Noise,Noise,Noise,Noise,
10060-TR-002 (GTG16),5110022,CUP-1,NLTC,Mr.Wongsakorn L.,GPSC,Mr.Atinat B.,GPSC,2025-02-06 00:00:00,PD Online,Normal,Noise,Noise,Noise,Noise,Noise,Noise,Noise,Noise,
14100-TR-005 (GTG13),PP0174B01,CUP-1,NLTC,Mr.Wongsakorn L.,GPSC,Mr.Atinat B.,GPSC,2025-02-06 00:00:00,PD Online,Normal,Noise,Noise,Noise,Noise,Noise,Noise,Noise,Noise,
14100-TR-006 (GTG14),PP0225B01,CUP-1,NLTC,Mr.Wongsakorn L.,GPSC,Mr.Atinat B.,GPSC,2025-02-06 00:00:00,PD Online,Normal,Noise,Noise,Noise,Noise,Noise,Noise,Noise,Noise,
10060-TR-001 (GTG15),5110021,CUP-1,NLTC,Mr.Wongsakorn L.,GPSC,Mr.Atinat B.,GPSC,2024-09-05 00:00:00,PD Online,Normal,Noise,Noise,Noise,Noise,Noise,Noise,Noise,Noise,
14100-TR-006 (GTG14),PP0225B01,CUP-1,NLTC,Mr.Wongsakorn L.,GPSC,Mr.Atinat B.,GPSC,2024-09-05 00:00:00,PD Online,Normal,Noise,Noise,Noise,Noise,Noise,Noise,Noise,Noise,
10060-TR-002 (GTG16),5110022,CUP-1,NLTC,Mr.Wongsakorn L.,GPSC,Mr.Atinat B.,GPSC,2024-09-04 00:00:00,PD Online,Normal,Noise,Noise,Noise,Noise,Noise,Noise,Noise,Noise,
14100-TR-001 (GTG11),4810106,CUP-1,NLTC,Mr.Wongsakorn L.,GPSC,Mr.Atinat B.,GPSC,2024-09-04 00:00:00,PD Online,Normal,Noise,Noise,Noise,Noise,Noise,Noise,Noise,Noise,
14100-TR-002 (GTG12),4811735,CUP-1,NLTC,Mr.Wongsakorn L.,GPSC,Mr.Atinat B.,GPSC,2024-09-04 00:00:00,PD Online,Normal,Noise,Noise,Noise,Noise,Noise,Noise,Noise,Noise,
14100-TR-005 (GTG13),PP0174B01,CUP-1,NLTC,Mr.Wongsakorn L.,GPSC,Mr.Atinat B.,GPSC,2024-09-04 00:00:00,PD Online,Normal,Noise,Noise,Noise,Noise,Noise,Noise,Noise,Noise,
10060-TR-001 (GTG15),5110021,CUP-1,NLTC,Mr.Wongsakorn L.,GPSC,Mr.Atinat B.,GPSC,2024-02-09 00:00:00,PD Online,Normal,Noise,Noise,Noise,Noise,Noise,Noise,Noise,Noise,
