serial,date,H1_tap_max_ratio,H1_max_err,H1_max_phd,H1_tap_cen_ratio,H1_cen_err,H1_cen_phd,H1_tap_min_ratio,H1_min_err,H1_min_phd,H1_tap_N1,H1_tap_rate_N1,H1_ratio1,H1_err1,H1_phd1,H1_tap_N2,H1_tap_rate_N2,H1_ratio2,H1_err2,H1_phd2,H2_tap_max_ratio,H2_max_err,H2_max_phd,H2_tap_cen_ratio,H2_cen_err,H2_cen_phd,H2_tap_min_ratio,H2_min_err,H2_min_phd,H2_ratio1,H2_err1,H2_phd1,H2_ratio2,H2_err2,H2_phd2,H3_tap_max_ratio,H3_max_err,H3_max_phd,H3_tap_cen_ratio,H3_cen_err,H3_cen_phd,H3_tap_min_ratio,H3_min_err,H3_min_phd,H3_ratio1,H3_err1,H3_phd1,H3_ratio2,H3_err2,H3_phd2,TESTNO,NAME1,NAME2,COMP1,COMP2,TESTINS,INSSERIAL,INSCAL,AMBIENT,OILTEMP,WINDINGTEMP,HUMIDITY,NOTE,MAXERR,MAXDEV,Object1,Object2,Object3,Object4,Object5,Object6,Object7,Object8,Object9,Object10,Object11,Object12,Object13,Object14,Object15,Object16,Object17,Object18,Object19,Object20,Object21,Object22,Object23,Object24,Object25,Object26,Object27,Object28,Object29,Object30
14231662_1,2/11/2019,-,-,-,28.5455,0.11,0,-,-,-,,-,-,-,-,,-,-,-,-,-,-,-,28.5442,0.12,0.02,-,-,-,-,-,-,-,-,-,-,-,-,28.5487,0.1,0.01,-,-,-,-,-,-,-,-,-,,Mr.Jirasak S.,,Glow,Glow,TESTANO600,DA193X,2/16/2018,25,-,25,55,,0.12,0.02,,,,,,,0.11,0,0.12,0.02,0.1,0.01,,,,,,,,,,,,,,,,,,
14231662_2,2/20/2019,-,-,-,28.5469,0.11,0.02,-,-,-,,-,-,-,-,,-,-,-,-,-,-,-,28.5408,0.13,0.03,-,-,-,-,-,-,-,-,-,-,-,-,28.5492,0.1,0.01,-,-,-,-,-,-,-,-,-,,Mr.Jirasak S.,,Glow,Glow,TESTANO600,DA193X,2/16/2018,24,-,50,62,,0.13,0.03,,,,,,,73.01,0.02,72.97,0.03,73.03,0.01,,,,,,,,,,,,,,,,,,
14231662_3,2/20/2019,-,-,-,28.5416,0.13,0,-,-,-,,-,-,-,-,,-,-,-,-,-,-,-,28.5421,0.13,0.05,-,-,-,-,-,-,-,-,-,-,-,-,28.5562,0.08,0.05,-,-,-,-,-,-,-,-,-,,Mr.Jirasak S.,,Glow,Glow,TESTANO600,DA193X,2/16/2018,25,-,25,56,,0.13,0.05,,,,,,,0.13,0,0.13,0.05,0.08,0.05,,,,,,,,,,,,,,,,,,
14231662_4,2/20/2019,-,-,-,28.539,0.14,0.01,-,-,-,,-,-,-,-,,-,-,-,-,-,-,-,28.5421,0.13,0.05,-,-,-,-,-,-,-,-,-,-,-,-,28.555,0.08,0.06,-,-,-,-,-,-,-,-,-,,Mr.Jirasak S.,,Glow,Glow,TESTANO600,DA193X,2/16/2018,25,-,25,56,,0.14,0.06,,,,,,,0.14,0.01,0.13,0.05,0.08,0.06,,,,,,,,,,,,,,,,,,
16266510,2/13/2017,,,,9.486,0.01,0.05,,,,,,,,,,,,,,,,,9.491,0.06,0.03,,,,,,,,,,,,,9.494,0.09,0.08,,,,,,,,,,,Mr. Anusit S.,Mr. Jarin S.,"TIS Engineering & Service Co.,Ltd.",GLOW,Raytech / Spy mark III,314151,3/5/2016,31,30,30,32,,0.09,0.08,,,,,,,0.01,0.05,0.06,0.03,0.09,0.08,,,,,,,,,,,,,,,,,,
1LKR040038TER,2/16/2018,-,-,-,-,-,-,-,-,-,5-Mar,16.84,16.837,0.02,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16.835,0.03,0.01,-,-,-,-,-,-,-,-,-,-,-,-,16.837,0.02,0,-,-,-,171052399,Mr.Thanongsak Phikulkaew,Mr. Weerachai Kulala,TIS,GLOW,Raytech Spy Mark II,314-151,3/1/2017,24,-,25,69,Operated in tap 3-5.,0.03,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.02,0.01,0.03,0.01,0.02,0,-,-,-,-,-,-
1LKR050450TER,1/14/2019,,,,16.8384,0.19,0,,,,,,,,,,,,,,,,,16.8376,0.19,0,,,,,,,,,,,,,16.8373,0.19,0.01,,,,,,,,,,181100890,Jirasak S.,,GLOW-CMT,,TESTRANO 600,DA193X,2/16/2018,22,-,23,76,,0.19,0.01,,,,,,,0.19,0,0.19,0,0.19,0.01,,,,,,,,,,,,,,,,,,
1LKR091729,1/25/2017,,,,29.178,0,0.02,,,,,,,,,,,,,,,,,29.172,0.02,0.01,,,,,,,,,,,,,29.176,0.01,0.01,,,,,,,,,,,Chaiyasit J.,Teerasak W.,"TIS Engineering and Service Co.,Ltd.",GLOW-ME,Raytec /SPY Mark III,314151,3/5/2016,27,,,39,,0.02,0.02,,,,,,,0,0.02,0.02,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,
1LKR091729,11/30/2019,,,,,,,,,,5-Mar,29.167,29.183,0.05,0.02,,,,,,,,,,,,,,,29.176,0.03,0.04,,,,,,,,,,,,,29.163,0.01,0.07,,,,191057172,Mr. Jirasak S.,,CMT-GLOW,GLOW,TESTRANO 600,DA193X,2/16/2018,26,-,26,51,,0.05,0.07,,,,,,,,,,,,,,,,,,,0.05,0.02,0.03,0.04,0.01,0.07,,,,,,
1LKR091730,4/23/2014,-,-,-,-,-,-,-,-,-,5-Mar,29.167,29.17,0.01,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,29.17,0.01,0.01,-,-,-,-,-,-,-,-,-,-,-,-,29.172,0.02,0.01,-,-,-,-,Anusit S.,,TIS,,Ratech TR.Spy Mark II,-,7/7/2013,-,-,-,-,,0.02,0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.01,0,0.01,0.01,0.02,0.01,-,-,-,-,-,-
