SN&Ph.,Serial_No,Parent_Serial_No,Status,Phase,Manufacturer,Manufacturer_Year,Model,Type,kV,mA,Watts,Capacitance,PF,PF_20,Corr_Fact,G_Ohm,layer,mA2,Watts2,File_Upload
4710345H0,-,4710345,Energized,H0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4710346H0,-,4710346,Energized,H0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PT3W67000/123H0,-,PT3W67000/123,Energized,H0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ET8712/1H1,1339.6-3314.0210,ET8712/1,Energized,H1,Tridelta,-,-,-,108,0.2,71,-,-,-,-,-,1,-,-,-
ET8712/1H2,1339.6-3314.0212,ET8712/1,Energized,H2,Crompton Greaves,1999,-,-,108,0.2,75,-,-,-,-,-,1,-,-,-
ET8712/1H3,1339.6-3314.0214,ET8712/1,Energized,H3,Crompton Greaves,1999,-,-,108,0.2,75,-,-,-,-,-,1,-,-,-
EDP018401H1,133996331402,EDP018401,Energized,H1,TRIDELTA,2001,-,-,108,-,-,-,-,-,-,-,1,-,-,-
4810106H1,2050808435,4810106,Energized,H1,VariSTAR,2005,AZG3009B076096,Porcelain,96,0.16,55,-,-,-,45568,267,1,-,-,-
4810106H2,2050808437,4810106,Energized,H2,VariSTAR,2005,AZG3009B076096,Porcelain,96,0.16,50,-,-,-,45568,447,1,-,-,-
4810106H3,2050808439,4810106,Energized,H3,VariSTAR,2005,AZG3009B076096,Porcelain,96,0.16,52,-,-,-,45568,236,1,-,-,-
4811735H3,20553055392,4811735,Energized,H3,COOPER,2005,-,-,96,0.16,386.57,-,-,-,-,-,1,-,-,-
4811735H1,20653000745,4811735,Energized,H1,COOPER,2005,-,-,96,0.17,346.6,-,-,-,-,-,1,-,-,-
4811735H2,20653000748,4811735,Energized,H2,COOPER,2005,-,-,96,0.16,343.4,-,-,-,-,-,1,-,-,-
5110021H2,20853016763,5110021,Energized,H2,VariSTAR,2008,AZG3009B076096,Porcelain,96,0.16,67.58,-,-,-,45568,-,1,-,-,-
5110022H1,20853016766,5110022,Energized,H1,VariSTAR,2008,AZG3009B076096,Porcelain,96,0.15,48.88,-,-,-,10,433,1,-,-,-
5110021H3,20853016767,5110021,Energized,H3,VariSTAR,2008,AZG3009B076096,Porcelain,96,0.16,64.62,-,-,-,45568,-,1,-,-,-
5110022H2,20853016768,5110022,Energized,H2,VariSTAR,2008,AZG3009B076096,Porcelain,96,0.15,49.35,-,-,-,10,479,1,-,-,-
5110021H1,20853016769,5110021,Energized,H1,VariSTAR,2008,AZG3009B076096,Porcelain,96,0.16,65.03,-,-,-,45568,-,1,-,-,-
5110022H3,20853016770,5110022,Energized,H3,VariSTAR,2008,AZG3009B076096,Porcelain,96,0.15,51.27,-,-,-,10,351,1,-,-,-
5513053X1,21253022598,5513053,Energized,X1,VariSTAR,2012,-,RESIN,15,0.74,282.19,231.8,-,3.826,18,-,1,-,-,-
5513053X2,21253022599,5513053,Energized,X2,VariSTAR,2012,-,RESIN,15,0.74,345.98,231.1,-,4.7045,18,-,1,-,-,-
5513053X3,21253022600,5513053,Energized,X3,VariSTAR,2012,-,RESIN,15,0.75,344.66,235,-,4.4768,18,-,1,-,-,-
5513053H1,21253022613,5513053,Energized,H1,VariSTAR,2012,-,RESIN,24,0.46,128.25,144,-,2.7774,18,-,1,-,-,-
5513053H2,21253022614,5513053,Energized,H2,VariSTAR,2012,-,RESIN,24,0.47,139.44,145.6,-,2.9876,18,-,1,-,-,-
5513053H3,21253022615,5513053,Energized,H3,VariSTAR,2012,-,RESIN,24,0.46,138.45,144.7,-,2.9842,18,-,1,-,-,-
PTE 1689/02H1,233535,PTE 1689/02,Energized,H1,TRIDELTA,2016,SBKC 192/10.3,Silicone,192,0.08,87.44,97.2,-,-,10.3,29.6,2,0.23,281.64,-
PTE 1689/02H2,233536,PTE 1689/02,Energized,H2,TRIDELTA,2016,SBKC 192/10.3,Silicone,192,0.08,86.29,96.2,-,-,10.3,31.6,2,0.23,277.77,-
PTE 1689/02H3,233537,PTE 1689/02,Energized,H3,TRIDELTA,2016,SBKC 192/10.3,Silicone,192,0.09,89.32,98.7,-,-,10.3,64.2,2,0.24,309.73,-
6012333H1,267513,6012333,Energized,H1,TRIDELTA,2018,SBKC108/SM-II,RESIN,108,0.124,42,39.5,3.37,3.37,63,-,1,-,-,1568633534-Arrester.JPG
6012333H2,267514,6012333,Energized,H2,TRIDELTA,2018,SBKC108/SM-II,RESIN,108,0.125,47,39.7,3.66,3.66,63,-,1,-,-,1568633658-Arrester.JPG
6012333H3,267515,6012333,Energized,H3,TRIDELTA,2018,SBKC108/SM-II,RESIN,108,0.125,47,39.8,3.395,3.395,-,-,1,-,-,1568633769-Arrester.JPG
5110023H1,267648,5110023,Energized,H1,TRIDELTA,2018,SB 108/10.3-0,Porcelain,108,0.21,57.53,-,-,-,-,-,1,-,-,-
6110201H1,267648,6110201,Energized,H1,TRIDELTA,2018,SB 108/10.3-0,Resin,108,0.21,57.53,-,-,-,-,-,1,-,-,-
5110023H2,267649,5110023,Energized,H2,TRIDELTA,2018,SB 108/10.3-0,Porcelain,108,0.2,58.39,-,-,-,-,-,1,-,-,-
6110201H2,267649,6110201,Energized,H2,TRIDELTA,2018,SB 108/10.3-0,Resin,108,0.21,57.53,-,-,-,-,-,1,-,-,-
5110023H3,267650,5110023,Energized,H3,TRIDELTA,2018,SB 108/10.3-0,Porcelain,108,0.2,57.69,-,-,-,-,-,1,-,-,-
6110201H3,267650,6110201,Energized,H3,TRIDELTA,2018,SB 108/10.3-0,Resin,108,0.2,57.69,-,-,-,-,-,1,-,-,-
4710349H1,4710349_H1,4710349,Energized,H1,-,-,-,-,10,0.131,92.21,-,-,-,-,15.33,-,0.1,70.1,-
4710349H2,4710349_H2,4710349,Energized,H2,-,-,-,-,10,0.131,109.72,-,-,-,-,12.27,-,0.1,64.42,-
4710349H3,4710349_H3,4710349,Energized,H3,-,-,-,-,10,0.131,98.57,-,-,-,-,11.37,-,0.1,60.03,-
PP0084B01H1,48013,PP0084B01,Energized,H1,TRIDELTA,2005,-,Porcelain,108,0.16,109.2,-,-,-,-,-,1,-,-,-
PP0084B01H2,48013,PP0084B01,Energized,H2,TRIDELTA,2005,-,Porcelain,108,0.15,105.44,-,-,-,-,-,1,-,-,-
PP0084B01H3,48015,PP0084B01,Energized,H3,TRIDELTA,2005,-,Porcelain,108,0.17,109.25,-,-,-,-,-,1,-,-,-
PP0102B01H1,48016,PP0102B01,Energized,H1,TRIDELTA,2005,-,Porcelain,108,0.16,129.92,-,-,-,-,-,1,-,-,-
