serial,date,test_NO,ambient_temp,winding_temp,oil_temp,humidity,surge_arrester_test_voltage,h1_cap,h1_watt_loss,h1_pf_tan,h1_current,h1_pf_20c,h1_ust_cap,h1_ust_watt_loss,h1_ust_pf_tan,h1_ust_current,h1_ust_pf_20c,h1_mohm,h2_cap,h2_watt_loss,h2_pf_tan,h2_current,h2_pf_20c,h2_ust_cap,h2_ust_watt_loss,h2_ust_pf_tan,h2_ust_current,h2_ust_pf_20c,h2_mohm,h3_cap,h3_watt_loss,h3_pf_tan,h3_current,h3_pf_20c,h3_ust_cap,h3_ust_watt_loss,h3_ust_pf_tan,h3_ust_current,h3_ust_pf_20c,h3_mohm,xsurge_arrester_test_voltage,xh1_current,xh2_current,xh3_current,xh1_watt_loss,xh2_watt_loss,xh3_watt_loss,xh1_pf_tan,xh2_pf_tan,xh3_pf_tan,xh1_pf_20c,xh2_pf_20c,xh3_pf_20c,xh1_cap,xh2_cap,xh3_cap,xh1_mohm,xh2_mohm,xh3_mohm,test_name,witness_name,COMP1,COMP2,test_instrument,serial_instrument,date_calibation,note,maxma1,maxma2,maxma3,maxw1,maxw2,maxw3,minr,Object1,Object2,Object3,Object4,Object5,Object6,Object7,Object8,Object9,Object10,Object11,Object12,Object13,Object14,Object15,Object16,Object17,H3_Error_mW
PP0102B01,2026-07-21 00:00:00,,31,32,32,61,10,-,117.5,-,0.15,-,-,-,-,-,-,112000,-,109.46,-,0.15,-,-,-,-,-,-,120000,-,113.1,-,0.15,-,134000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mr.Jirasak S.,Mr.Suchart M.,GPSC,GPSC,TESTRANO 600,DA193X,2025-12-15,,6.25,6.25,6.25,9.56,11.54,0.89,112000,6.25,9.56,6.25,11.54,6.25,0.89,-,-,-,-,-,-,-,-,-,-,-,-
PP0084B01,2026-07-16 00:00:00,,31,30,30,71,10,-,136.94,-,0.16,-,-,-,-,-,-,12500,-,128.39,-,0.15,-,-,-,-,-,-,13200,-,127.01,-,0.15,-,12200,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,Mr.Jirasak S.,Mr.Suchart M.,GPSC,GPSC,TESTRANO 600,DA193X,2025-12-15,,0,0,11.76,25.4,21.77,16.26,0,0.00,25.40,0.00,21.77,11.76,16.26,,,,,,,-,-,-,-,-,-
PP0158B01,2026-05-26 00:00:00,,32,36,36,64,10,-,106.78,-,0.15,-,-,-,-,-,-,12500,-,106.79,-,0.15,-,-,-,-,-,-,13200,-,118.16,-,0.16,-,12200,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,Mr.Jirasak S.,Mr.Suchart M.,GPSC,GPSC,TESTRANO 600,DA193X,2025-12-15,,0,0,0,0,0,0.14,0,0.00,0.00,0.00,0.00,0.00,0.14,,,,,,,-,-,-,-,-,-
6310535,2026-01-07 00:00:00,,30,30,30,50,10,,51.7,,0.18,,,,,,,123000,,49.65,,0.18,,,,,,,142000,,49.4,,0.18,,133000,,,,,,,,,,,,,,,,,,,,,,,,,Mr. Jirasak S.,Mr.Suchat M.,GPSC,GPSC,TESTRANO 600,CE133V,2025-10-02,,0,0,0,3.4,0.7,1.2,0,0.00,3.40,0.00,0.70,0.00,1.20,,,,,,,,,,,,
6310537,2025-11-26 00:00:00,,30,30,30,56,10,,48.38,,0.18,,,,,,,,,48.06,,0.18,,,,,,,,,47.67,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,Jirasak S.,,GPSC,,,,,,0,0,0,0,0,0,,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
5110021,2025-11-03 00:00:00,,32,32,32,67,10,-,49.07,-,0.15,-,-,-,-,-,-,,-,49.2,-,0.15,-,-,-,-,-,-,,-,51.53,-,0.15,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mr.Jirasak S.,Mr.Suchat M.,GPSC,GPSC,CPC100+ CP SB1,,,,6.25,6.25,6.25,24.54,27.2,20.26,0,6.25,24.54,6.25,27.20,6.25,20.26,-,-,-,-,-,-,-,-,-,-,-,-
5110023,2025-07-09 00:00:00,,32,32,32,67,10,-,59.37,-,0.16,-,-,-,-,-,-,-,-,57.96,-,0.16,-,-,-,-,-,-,-,-,59.74,-,0.16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mr.Jirasak S.,Mr.Suchat M.,GPSC,GPSC,TESTRANO 600,DaA193X,2024-10-09,,23.81,20,20,3.2,0.74,3.55,-,23.81,3.20,20.00,0.74,20.00,3.55,-,-,-,-,-,-,-,-,-,-,-,-
PTE 1689/04,2025-07-07 00:00:00,,36,35,35,58,10,-,260.63,-,0.27,-,-,118.36,-,0.09,-,-,-,195.24,-,0.27,-,-,84.42,-,0.09,-,-,-,1214.51,-,0.31,-,-,779.57,-,0.12,-,-,10,0.16,0.13,0.12,214.89,220.08,207.04,-,-,-,-,-,-,-,-,-,-,-,-,Mr.Jirasak S.,Mr.Suchat M.,GPSC,GPSC,TESTRANO 600,DA193X,2024-10-09,,237.5,200,244.44,794.71,536.38,3658.93,-,237.50,794.71,200.00,536.38,244.44,3658.93,10.34,224.61,27.45,370.26,15.38,283.41,0.00,131.85,0.00,43.47,20.00,1137.41
PTE 1689/02,2025-05-22 00:00:00,,31,32,32,70,10,-,91.22,-,0.09,-,-,209.82,-,0.24,-,,-,90.57,-,0.09,-,-,203.21,-,0.23,-,,-,93.8,-,0.09,-,,201.24,-,0.24,-,-,10,0.11,0.11,0.11,64.1,66.01,61.54,-,-,-,-,-,-,-,-,-,,,,Mr.Jirasak S.,Mr.Suchat M.,GPSC,GPSC,TESTRANO 600,DA193X,2024-10-09,,12.5,12.5,8.33,25.5,26.84,35.03,,12.50,4.32,12.50,4.96,0.00,5.02,8.33,18.86,0.00,26.66,8.33,31.62,4.35,25.50,0.00,26.84,0.00,35.03
EDP008001,2025-05-09 00:00:00,,,,,,10,-,270.87,-,0.15,-,-,-,-,-,-,-,-,304.4,-,0.15,-,-,-,-,-,-,-,-,386.69,-,0.16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mr.Jirasak S.,Mr.Suchat M.,GPSC,GPSC,,,,,9.49,9.89,17.65,13.81,14.01,16.82,-,9.49,13.81,9.89,14.01,17.65,16.82,-,-,-,-,-,-,-,-,-,-,-,-
4810106,2025-03-20 00:00:00,,,,,,10,-,75.02,-,0.15,-,-,-,-,-,-,-,-,56.12,-,0.16,-,-,-,-,-,-,-,-,61.35,-,0.16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mr.Jirasak S.,Mr.Suchat M.,GPSC,GPSC,TESTRANO 600,DA193X,2024-10-09,,6.25,0,0,36.4,12.24,17.98,-,6.25,36.40,0.00,12.24,0.00,17.98,-,-,-,-,-,-,-,-,-,-,-,-
510049,2025-02-06 00:00:00,,31,31,31,60,10,,60.71,,0.19,,,,,,,,,50.36,,0.15,,,,,,,,,64.75,,0.18,,,,,,,,10,0.13,0.13,0.12,76.36,77.4,71.70,,,,,,,,,,,,,Mr. Pimchat P.,,GPSC,,TESTRANO 600,DA193X,2025-10-09,,27.78,27.78,29.41,2.9,22.5,0,,11.76,2.90,6.25,22.50,5.88,0.00,27.78,0.04,27.78,0.01,29.41,0.00,,,,,,
510049,2025-02-05 00:00:00,,31,31,31,60,10,,60.71,,0.19,,,,,,,,,50.36,,0.15,,,,,,,,,64.75,,0.18,,,,,,,,10,0.13,0.13,0.12,76.36,,,,,,,,,,,,,,,,,,,TESTRANO 600,DA193X,2025-10-09,,27.78,27.78,29.41,91.13,22.5,0,,11.76,2.90,6.25,22.50,5.88,0.00,27.78,91.13,27.78,,29.41,,,,,,,
