Equipment Name,Device Code,SITE,Service_Type,DATE,YEAR,Working Type,Equipment part,Detail,Picture,Root cause,Action,Finish Dated,Duration (Day),Status
10060-TR-001 (GTG15),10060-TR-001,CUP-1,GSUT,2025-11-03 00:00:00,2025,PM,-,3 Year Maintenance and Self assessment,,,,,,
KT12A.30.EN,31-90-CPPA-XF-KT12A,SITE3,Distribution Transformer,2025-05-09 00:00:00,2025,PM,-,3Y PM Program and Life assessment.,,,,,,
KT2A.30.EN,31-90-CPPB-XF-KT2A,SITE3,Distribution Transformer,2025-02-06 00:00:00,2025,PM,-,6Y PM Program.,,,,,,
KT6A.30.EN,31-90-CPPB-XF-KT6A,SITE3,Distribution Transformer,2025-01-26 00:00:00,2025,PM,"BCT, OLTC","3Y PM Program and Life assessment program, Replace BCT, Hot oil purify OLTC oil.",,,,,,
14100-TR-006 (GTG14),14100-TR-006,CUP-1,GSUT,2025-01-21 00:00:00,2025,PM,-,3Y PM Program and Life assessment program.,,,,,,
KT4A.30.EN,31-90-CPPB-XF-KT4A,SITE3,Distribution Transformer,2023-01-03 00:00:00,2023,CM,-,Oil leak at tube to radiator,,Worn out gasket,"- Repair oil leak and fix nut.
- Replacement new buccholz relay.
- Reset rubber bag alarm.
- hot oil purify drain oil.",,11:00:00,
CTG1A&1B GSUT,-,-,-,2022-12-30 00:00:00,2022,CM,-,- Sight glass of buchholz Relay is broken,-,Sight glass derteriored.,"- Change new sight glass
- Close oil valve from buchholz relay",,04:00:00,
KT4A.30.EN,31-90-CPPB-XF-KT4A,SITE3,Distribution Transformer,2022-12-19 00:00:00,2022,CM,-,KT4A has alarm AC Ragulating failure and Can't Reset.,,???,???,,,
KT6A.30.EN,31-90-CPPB-XF-KT6A,SITE3,Distribution Transformer,2022-11-09 00:00:00,2022,CM,-,"Alarm ""AC Reculator fail"", Verify.",,,,,,
10060-TR-001 (GTG15),10060-TR-001,CUP-1,GSUT,2022-10-31 00:00:00,2022,PM,-,3 Year Maintenance,,,,,,
14100-TR-004,14100-TR-004,CUP-1,Distribution Transformer,2022-10-06 00:00:00,2022,CM,-,Lamp indicator is damage,,deteriored,Change new.,,,
KT4A.30.EN,31-90-CPPB-XF-KT4A,SITE3,Distribution Transformer,2022-08-18 00:00:00,2022,BD,-,"Repair oil leak out at LV bushing current transformer terminal Phase-B, Top up oil 1,000 L.",,,,,,
KT2A.30.EN,31-90-CPPB-XF-KT2A,SITE3,Distribution Transformer,2022-07-15 00:00:00,2022,PM,-,3Y PM Program.,,,,,,
KT6A.30.EN,31-90-CPPB-XF-KT6A,SITE3,Distribution Transformer,2022-06-19 00:00:00,2022,Improved,Self-Protection,"Improvement flexible conduit of all self-protection, New wirring for OLTC control panel.",,,,,,
KT6A.30.EN,31-90-CPPB-XF-KT6A,SITE3,Distribution Transformer,2022-06-19 00:00:00,2022,CM,Self-Protection,"Reset ""Rubber Bag Rupture Alarm""",,,,,,
KT5A.30.EN,31-90-CPPB-XF-KT5A,SITE3,Distribution Transformer,2022-06-13 00:00:00,2022,SP,-,"Reset ""Rubber Bag Rupture Alarm"", Replacement new OLTC pressure relief 3 EA, OLTC hot oil purify and top up, Function test.",,,,,,
14100-TR-001 (GTG11),14100-TR-001,CUP-1,GSUT,2022-05-25 00:00:00,2022,PM,LV Bushing,"LV bushing broken Phase C, Replacement new on",,Human error effect to broken,"Replacement new LV bushing, hot oil purify",2022-05-26 00:00:00,1,
14100-TR-001 (GTG11),14100-TR-001,CUP-1,GSUT,2022-05-25 00:00:00,2022,PM,-,3Y PM Program,,,,,,
TR2,22-90-00ATC20 (TR2),SITE2,Distribution Transformer,2022-05-17 00:00:00,2022,SP,-,"Improvement flexible conduit of self-protection, Function test.",,,,,,
TR1,22-90-00ATC10 (TR1),SITE2,Distribution Transformer,2022-05-10 00:00:00,2022,SP,-,"Improvement flexible conduit of self-protection, LCC equipment repalcement, OLTC hot oil purify.",,,,,,
TR1,22-90-00ATC10 (TR1),SITE2,Distribution Transformer,2022-05-10 00:00:00,2022,CM,-,- Dielectric breakdown uacceptable limit.,,- Unkown root cause.,"- Change new oil.
- Hot oil purify.
- FDS and PDC+ test.",,,
