SERIAL_NUMBER,DEVICE_CODE,LOCAL_EQUIPMENT_CODE,SITE,COMPANY_CODE,LOCATION_CODE,MANUFACTURING_DATE,BRAND,MANUFACTURER_COMPANY,MADE_IN,MODEL_TYPE,POWER_RATING,POWER_RATING_DETAIL,HV_RATED,LV_RATED,LV2_RATED,HV_RATED_A,LV_RATED_A,LV2_RATED_A,TYPE_OF_COOLING,TAP_CHANGER_TYPE,PHASES,VECTOR_GROUP,IMPEDANCE_MIDDLE_TAP,IMPEDANCE_DETAIL,STANDARD,TEMP_RISE_MAX,WINDING_INSULATION,TYPE_OF_INSULATION,TOTAL_MASS,CORE_AND_COIL_MASS,TANK_AND_FITTING_MASS,OIL_MASS,SHIPPING_MASS,OIL_QUANTITY,DIMENSION,SPECIFICATION,APPLICATION,BUSHING_LV_TYPE,BUSHING_HV_TYPE,REMARK,DATA,NO_WINDING,LOCATION_GPS,FILEUPLOAD,Service_Type,SPARE2,SPARE3,GI,API,IOI,OLTCI,BI,ARI,DGA,HI,Result_Date
4803167,16120-TR-002B,16120-TR-002B,CUP-1,-,-,2005-11-10 00:00:00,EKARAT,EKARAT,THAILAND,11FL,2000,2000/2660 kVA,6.9,0.4,,222.52,3839.38,,ONAF,NLTC,3,Dyn5,6.3,6.3% at 2660 kVA,-,-,A,Mineral Oil,6130,-,-,-,-,1300,-,-,Plant Maintenance,Oil-To-Air,Oil-To-Air,-,OIL TYPE,2,"12.702062, 101.125951",,Auxiliary Transformer,,100,0,12,15,,,,,68,2024-03-06
4803168,16120-TR-002A,16120-TR-002A,CUP-1,-,-,2005-11-10 00:00:00,EKARAT,EKARAT,THAILAND,11FL,2000,2000/2660 kVA,6.9,0.4,,222.57,3839.38,,ONAF,NLTC,3,Dyn5,6.34,-,-,-,A,Mineral Oil,6130,-,-,-,-,1300,-,-,Plant Maintenance,Oil-To-Air,Oil-To-Air,-,OIL TYPE,2,"12.70208, 101.125927",,Auxiliary Transformer,,100,5,13,15,,,,,83,2026-02-25
4803321,16120-TR-001,16120-TR-001,CUP-1,-,-,2005-11-10 00:00:00,EKARAT,EKARAT,THAILAND,160TL,4500,4500/6000 kVA,11,6.9,,314.93,502.04,,ONAF,NLTC,3,Dyn5,7.35,7.35% at 6000 kVA,IEC 60076,-,A,Mineral Oil,11213,-,-,-,-,2847,-,-,Plant Maintenance,Oil-To-Air,Oil-To-Air,-,OIL TYPE,2,"12.702089, 101.1259",,Unit Auxiliary Transformer,,75,5,20,15,0,0,0,0,100,2026-02-24
4810106,14100-TR-001,14100-TR-001 (GTG11),CUP-1,-,-,2005-01-07 00:00:00,TIRATHAI,TIRATHAI,THAILAND,PT 3W 58500/115,55000,44/49.5/55 MVA,115,10.5,,276.1,3024,,ONAN/ONAF,NLTC,3,YNd11,10.78,10.78% at 55000 kVA,IEC 60076,60,-,Mineral Oil,75000,-,17200,17550,50000,-,-,-,EMM,Oil-To-Air,Oil-To-Air,,OIL TYPE,2,"12.701861, 101.126546",,GSUT,,91.67,5,20,15,0,20,20,20,100,2026-02-04
4811735,14100-TR-002,14100-TR-002 (GTG12),CUP-1,-,-,2006-10-01 00:00:00,TIRATHAI,TIRATHAI,THAILAND,PT 3W 58500/115,55000,44/49.5/55 MVA,115,10.5,,276.1,3024,,ONAN/ONAF,NLTC,3,YNd11,10.83,10.83% at 55 MVA,IEC 60076,60,-,Mineral Oil,75000,-,17200,17550,50000,-,-,-,EMM,Oil-To-Air,Oil-To-Air,,OIL TYPE,2,"12.701899, 101.126481",,GSUT,,100,5,20,15,0,20,20,20,100,2025-04-01
4902687,16120-TR-003,16120-TR-003,CUP-1,-,-,2006-09-13 00:00:00,EKARAT,EKARAT,THAILAND,160TL,4500,4500/6000 kVA,11,6.9,,314.93,502.04,,ONAN,NLTC,3,Dyn5,7.11,7.11% at 6000 kVA,IEC 60076,-,A,Mineral Oil,11266,-,-,-,-,2909,-,-,Plant Maintenance,Oil-To-Air,Oil-To-Air,-,OIL TYPE,2,"12.702065, 101.126041",,Unit Auxiliary Transformer,,100,5,18,15,,,,,95,2024-03-06
5001700,16120-TR-005B,16120-TR-005B,CUP-1,-,-,2007-09-04 00:00:00,EKARAT,EKARAT,THAILAND,17FL,1600,1250/1600 kVA,6.9,0.4,,133.08,2309.4,,ONAF,NLTC,3,Dyn5,8.47,"8.47% at 1600 kVA, 6.62% at 1250 kVA",IEC 60076,-,A,Mineral Oil,4534,-,-,-,-,962,-,-,Plant Maintenance,Oil-To-Air,Oil-To-Air,-,OIL TYPE,2,"12.702145, 101.126083",,Auxiliary Transformer,,100,5,17,3,,,,,63,2026-03-31
5001766,16120-TR-005A,16120-TR-005A,CUP-1,-,-,2007-09-04 00:00:00,EKARAT,EKARAT,THAILAND,17FL,1600,1250/1600 kVA,6.9,0.4,,104.59,2309.4,,ONAF,NLTC,3,Dyn5,8.49,8.49 at 1600 kVA,IEC 60076,-,A,Mineral Oil,4534,-,-,-,-,962,-,-,Plant Maintenance,Oil-To-Air,Oil-To-Air,-,OIL TYPE,2,"12.702116, 101.126069",,Auxiliary Transformer,,100,5,18,15,,,,,95,2024-03-11
5001769,16120-TR-004,16120-TR-004,CUP-1,-,-,2007-09-19 00:00:00,EKARAT,EKARAT,THAILAND,160TL,4500,4500/6000 kVA,11,6.9,,314.93,502.04,,ONAF,NLTC,3,Dyn5,7.42,7.42 at 6000 kVA,IEC 60076,-,A,Mineral Oil,11312,-,-,-,-,2961,-,-,Plant Maintenance,Oil-To-Air,Oil-To-Air,-,OIL TYPE,2,"12.702018, 101.126038",,Unit Auxiliary Transformer,,100,5,18,15,,,,,95,2024-03-11
5101711,16120-TR-006,16120-TR-006,CUP-1,-,-,2005-11-10 00:00:00,EKARAT,EKARAT,THAILAND,160TL,4500,4500/6000 kVA,11,6.9,,314.93,502.34,,ONAF,NLTC,3,Dyn5,7.35,7.35% at 6000 kVA,IEC 60076,-,A,Mineral Oil,11213,-,-,-,-,2847,-,-,Plant Maintenance,Oil-To-Air,Oil-To-Air,-,OIL TYPE,2,"12.702013, 101.126228",,Unit Auxiliary Transformer,,75,5,20,15,0,0,0,0,100,2026-02-26
