Equipment Name,Serial No.,SITE,Tap Changer Type,Test Name,Test Company,Reviewed,Withness Company,Test Date,Test Instrument,Summary,HV Terminator,HV Lightning Arrester,HV Bushing,LV Bushing,Neutral Bushing,Radiator,Main Tank,
KT2A.30.EN,510049,SITE3,OLTC3,Mr.Wongsakorn L.,GPSC,Mr.Atinat B.,GPSC,2025-04-04 00:00:00,Thermo Scan,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,
KT12A.30.EN,EDP008001,SITE3,OLTC1,Mr.Wongsakorn L.,GPSC,Mr.Atinat B.,GPSC,2025-04-04 00:00:00,Thermo Scan,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,
14100-TR-001 (GTG11),4810106,CUP-1,NLTC,Mr.Wongsakorn L.,GPSC,Mr.Atinat B.,GPSC,2025-02-07 00:00:00,Thermo Scan,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,
14100-TR-002 (GTG12),4811735,CUP-1,NLTC,Mr.Wongsakorn L.,GPSC,Mr.Atinat B.,GPSC,2025-02-07 00:00:00,Thermo Scan,Abnormal,Abnormal,Normal,Normal,Normal,Normal,Normal,Normal,
KT6A.30.EN,PTE 1689/03,SITE3,OLTC3,Mr.Wongsakorn L.,GPSC,Mr.Atinat B.,GPSC,2025-01-20 00:00:00,Thermo Scan,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,
14100-TR-001 (GTG11),4810106,CUP-1,NLTC,Mr.Wongsakorn L.,GPSC,Mr.Atinat B.,GPSC,2024-08-26 00:00:00,Thermo Scan,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,
14100-TR-002 (GTG12),4811735,CUP-1,NLTC,Mr.Wongsakorn L.,GPSC,Mr.Atinat B.,GPSC,2024-08-26 00:00:00,Thermo Scan,Abnormal,Abnormal,Normal,Normal,Normal,Normal,Normal,Normal,
14100-TR-005 (GTG13),PP0174B01,CUP-1,NLTC,Mr.Wongsakorn L.,GPSC,Mr.Atinat B.,GPSC,2024-08-26 00:00:00,Thermo Scan,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,
14100-TR-006 (GTG14),PP0225B01,CUP-1,NLTC,Mr.Wongsakorn L.,GPSC,Mr.Atinat B.,GPSC,2024-08-26 00:00:00,Thermo Scan,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,
10060-TR-001 (GTG15),5110021,CUP-1,NLTC,Mr.Wongsakorn L.,GPSC,Mr.Atinat B.,GPSC,2024-08-26 00:00:00,Thermo Scan,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,
10060-TR-002 (GTG16),5110022,CUP-1,NLTC,Mr.Wongsakorn L.,GPSC,Mr.Atinat B.,GPSC,2024-08-26 00:00:00,Thermo Scan,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,
14100-TR-003,PP0084B01,CUP-1,OLTC1,Mr.Wongsakorn L.,GPSC,Mr.Atinat B.,GPSC,2024-08-26 00:00:00,Thermo Scan,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,
14100-TR-004,PP0102B01,CUP-1,OLTC1,Mr.Wongsakorn L.,GPSC,Mr.Atinat B.,GPSC,2024-08-26 00:00:00,Thermo Scan,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,
