serial,date,test_NO,ambient_temp,winding_temp,oil_temp,humidity,hl_test_voltage,chl_ch_cap,chl_ch_pf_1,chl_ch_pf_2,chl_ch_pf_ma,chl_ch_pf_p,chl_cap,chl_pf_1,chl_pf_2,chl_pf_ma,chl_pf_p,ch_cap,ch_pf_1,ch_pf_2,ch_pf_ma,ch_pf_p,lh_test_voltage,clh_cl_cap,clh_cl_pf_1,clh_cl_pf_2,clh_cl_pf_ma,clh_cl_pf_p,clh_cap,clh_pf_1,clh_pf_2,clh_pf_ma,clh_pf_p,cl_cap,cl_pf_1,cl_pf_2,cl_pf_ma,cl_pf_p,th_test_voltage,ct_cth_cap,ct_cth_pf_1,ct_cth_pf_2,ct_cth_pf_ma,ct_cth_pf_p,cth_cap,cth_pf_1,cth_pf_2,cth_pf_ma,cth_pf_p,ct_cap,ct_pf_1,ct_pf_2,ct_pf_ma,ct_pf_p,oil_maintank_cap,oil_maintank_pf,oil_oltc_cap,oil_oltc_pf,test_name,witness_name,COMP1,COMP2,test_instrument,serial_instrument,date_calibation,note,maxhv_tand,maxchv_change,maxlv_tand,maxclv_change,maxtv_tand,maxctv_change,maxoil_maintank_tand,maxoil_oltc_tand,Object1,Object2,Object3,Object4,Object5,Object6,Object7,Object8,Object9
PP0102B01,2026-07-21 00:00:00,,32,34,34,61,10,9311.4,0.221,0.161,29.26,648.13,5887.5,0.23,0.168,18.5,426.08,3424,0.205,0.149,10.77,220.79,5,15405.8,0.235,0.171,24.2,284.33,5887.8,0.229,0.167,9.25,106,9518.2,0.234,0.171,14.95,175.69,,,,,,,,,,,,,,,,,,,,,Mr.Jirasak S.,Mr.Suchart M.,GPSC,GPSC,TESTRANO 600,DA193X,2025-12-15 00:00:00,,0.168,2.39,0.171,0.12,,,,,0.12,2.39,0.11,0.08,0.07,0.12,,,
PP0084B01,2026-07-16 00:00:00,,32,36,36,65,10,9417.8,0.606,0.406,29.6,1794.43,5890.8,0.811,0.543,18.51,1500.67,3526.7,0.254,0.171,11.09,284.25,5,15433.3,0.841,0.563,24.25,1019.04,5889.2,0.778,0.521,9.25,359.85,9543.9,0.876,0.587,15,657.23,,,,,,,,,,,,,,,,,,,,,Mr.Jirasak S.,Mr.Suchart M.,GPSC,GPSC,TESTRANO 600,DA193X,2025-12-15 00:00:00,,0.543,0.29,0.587,1.23,,,,,0.26,0.15,0.29,0.63,1.23,0.32,,,
PP0016B01,2026-06-28 00:00:00,,36,44,44,52,2,118014.6,0.204,0.120,370.76,7571.03,6888.5,0.181,0.107,21.64,393.03,111122.6,0.206,0.121,349.11,7203.48,5,18822.9,0.263,0.155,59.14,1558.02,6891.8,0.185,0.109,21.65,401.17,11930.9,0.314,0.185,37.49,1179.61,,,,,,,,,,,,,,,,,,,,,Mr.Jirasak S.,Mr.Suchart M.,GPSC,GPSC,TESTRANO 600,DA193X,,,0.121,0.72,0.185,0.13,,,,,0.68,0.72,0.05,0.10,0.13,0.05,,,
TP70279703,2026-01-22 00:00:00,,,,,,2,173772.5,0.138,0.1,109.19,301.66,70267.4,0.192,0.14,44.15,169.49,103506.6,0.111,0.08,65.04,144.1,5,118156.1,0.21,0.153,185.58,1955.11,70266.9,0.194,0.14,110.36,1070.8,47888.1,0.249,0.181,75.22,936.67,,,,,,,,,,,,,,,,,,,,,Mr.Polasart T.,Mr.Jirasak S.,Hitachi Energy,GPSC,TESTRANO 600,CE133V,2025-10-12 00:00:00,Injection includes GIL.,0.14,0.36,0.181,0.37,,,,,0.03,0.16,0.36,0.33,0.28,0.37,,,
JD85034202,2026-01-09 00:00:00,,25,25,25,65,10,7332,0.312,0.277,23.044,718,4561,0.139,0.124,14.329,200,2769,0.52,0.462,8.708,452,0.4,15641,0.211,0.188,1.967,2,4561,0.139,0.124,0.573,0.01,11080,0.24,0.213,1.393,1,,,,,,,,,,,,,,,,,,,,,Mr.Kongsak K.,Mr.Jirasak S.,Hitachi Energy,GPSC,TESTRANO 600,FJ571Z,,,0.462,0.69,0.213,0.05,,,,,0.44,0.69,0.24,0.04,0.03,0.05,,,
6310535,2026-01-07 00:00:00,,,,,,10,11433.7,0.165,0.132,35.93,592.99,7615.9,0.157,0.125,23.93,376.37,3817.5,0.181,0.145,12,217.52,6,19321.5,0.239,0.191,36.43,524.08,7615.8,0.156,0.125,14.36,134.99,11705.3,0.293,0.234,22.07,388.6,,,,,,,,,,,,,,,,,,,,,Mr.Jirasak S.,Mr.Suchat M.,GPSC,GPSC,TESTRANO 600,CE133V,2025-10-02 00:00:00,,0.145,0.22,0.234,0.39,,,,,0.20,0.15,0.22,0.34,0.39,0.25,,,
5200523,2025-11-29 00:00:00,,36,40,40,76,3,4462,1.482,0.949,4.209,187.149,3038,1.211,0.775,2.863,103.944,1425,2.07,1.32,1.346,83.859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mr.Nattapong M.,Mr.Panya L.,Hitachi Energy,GPSC,TESTRANO 600,,,,1.32,2.15,,,,,,,0.95,2.15,0.46,,,,,,
5201090,2025-11-29 00:00:00,,40,40,40,75,6,7065,1.487,0.952,13.325,1188.836,4599,0.956,0.612,8.668,497.046,2466,2.47,1.581,4.655,690.029,3,11720,1.329,0.93,11.049,440.574,4599,0.951,0.666,4.335,123.729,7121,1.581,1.107,6.715,318.569,,,,,,,,,,,,,,,,,,,,,Mr.Nattapong M.,Mr.Pornpong S.,Hitachi Energy,GPSC,,,,,1.581,2.65,1.107,0.49,,,,,0.90,2.65,0.09,0.27,0.49,0.09,,,
6310537,2025-11-27 00:00:00,,29,30,30,45,10,11587.1,0.1686,0.1349,36.46,615.64,7706.7,0.1666,0.1332,24.23,403.82,3880.2,0.1748,0.1399,12.21,213.52,6,19272,0.2028,0.1622,36.35,442.31,7706.5,0.1663,0.1330,14.53,145.0,11566,0.2318,0.1854,21.82,303.45,,,,,,,,,,,,,,,,,,,,,Jirasak S.,,GPSC,,"CPC100, CP TD1",UA353B,,,0.1399,0.48,0.1854,0.75,,,,,0.00,0.48,0.07,0.00,0.75,0.01,,,
5000574,2025-11-20 00:00:00,,30,36,36,65,3,3847,0.218,0.153,3.629,24,2641,0.197,0.138,2.489,15,1206,0.264,0.185,1.139,9,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mr.Kongsak K.,Mr.Panya L.,Hitachi Energy,GPSC,TESTRANO 600,,,,0.185,0.33,0,0,,,,,0.03,0.33,0.15,-,,,,,
5000577,2025-11-15 00:00:00,,30,36,36,65,3,3969,0.221,0.155,3.743,25,2719,0.208,0.145,2.562,16,1251,0.250,0.175,1.182,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mr.Kongsak K.,Mr.Panya L.,Hitachi Energy,GPSC,TESTRANO 600,,,,0.175,0.16,,,,,,,0.08,0.16,0.04,,,,,,
5000575,2025-11-15 00:00:00,,30,36,36,65,3,4139,0.227,0.159,3.904,27,2898,0.209,0.146,2.731,17,1241,0.271,0.190,1.17,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mr.Kongsak K.,Mr.Panya L.,Hitachi Energy,GPSC,TESTRANO 600,,,,0.19,0.24,,,,,,,0.12,0.24,0.03,,,,,,
5000576,2025-11-15 00:00:00,,30,36,36,65,3,3856,0.202,0.141,3.637,22,2667,0.186,0.131,2.513,14,1189,0.235,0.164,1.124,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mr.Kongsak K.,Mr.Panya L.,Hitachi Energy,GPSC,TESTRANO 600,,,,0.164,0.25,,,,,,,0.03,0.25,0.19,,,,,,
5110021,2025-11-03 00:00:00,,32,32,32,67,10,11991.9,0.216,0.166,37.71,815.22,8852.4,0.167,0.128,27.83,466.17,3139.3,0.354,0.272,9.88,350.07,6,21757.3,0.237,0.183,41.04,585.33,8852.3,0.166,0.128,16.69,166.62,12904.6,0.287,0.221,24.43,420.23,,,,,,,,,,,,,,,,,,,,,Mr.Jirasak S.,Mr.Suchat M.,GPSC,GPSC,CPC100+CP TD1,,,,0.272,0.11,0.221,0.11,,,,,0.09,0.07,0.11,0.01,0.06,0.11,,,
EDP011601,2025-10-07 00:00:00,,33,46,46,60,10,11515,0.225,0.126,36.19,814.34,7381.9,0.2028,0.1136,23.19,470.26,4134.1,0.2696,0.1510,13.00,350.37,2,17127.3,0.3017,0.1690,53.82,1623.66,7378.5,0.2068,0.1158,23.18,479.26,9740,0.0.3563,0.1995,30.61,1090,,,,,,,,,,,,,,,,,,,,,Mr. Jirasak S,,GPSC,,TESTRANO 600,DA193X,2024-10-09 00:00:00,,0.151,0.23,0.1995,0.07,,,,,0.12,0.23,0.07,0.07,0.01,0.05,,,
